"DUNBLANE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5527,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,3.94,5.97,3.78,4.33,2.10,4.15,5.14,6.03,3.97,1.53,,
February,2.70,0.11,2.62,0.89,4.11,2.32,3.66,1.26,5.00,1.40,,
March,1.11,2.46,2.11,2.67,1.85,2.42,2.12,2.07,3.38,2.81,,
April,2.00,3.89,1.17,4.80,2.82,0.62,1.55,0.42,1.85,2.71,,
May,3.36,4.04,1.89,1.81,0.70,1.25,3.06,5.87,1.36,1.23,,
June,4.69,1.29,1.65,2.27,6.59,2.04,4.42,7.08,1.78,0.96,,
July,5.72,2.47,3.33,3.01,1.21,3.89,4.51,4.07,5.01,4.15,,
August,1.65,1.33,1.35,3.65,3.41,4.93,5.24,3.88,1.33,0.99,,
September,1.27,2.74,3.12,4.56,6.33,4.08,3.38,5.98,1.63,2.35,,
October,2.28,5.91,2.65,4.91,7.71,3.62,3.10,7.30,2.82,2.73,,
November,8.12,2.48,2.15,2.86,-999.00,2.30,0.56,7.25,7.17,4.34,,
December,2.63,5.71,0.52,7.59,2.58,4.74,1.88,3.49,2.02,3.29,,
Total,39.47,38.40,26.34,43.35,43.14,36.36,38.62,54.70,37.32,28.49,,
Calc annual,39.47,38.40,26.34,43.35,39.41,36.36,38.62,54.70,37.32,28.49,,
Difference,0.00,0.00,0.00,0.00,3.73,-0.00,-0.00,0.00,0.00,-0.00,,
