INVERARAY STRONSHIRA,,,,,,,,,,,,
Grid ref,NN1137609796,Long,-5.045565,Lat,56.243144,,,,,,,
Station no,RR8446,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,9.19,8.99,,
February,,,,,,,,,5.87,4.12,,
March,,,,,,,,,7.10,1.06,,
April,,,,,,,,,2.13,5.43,,
May,,,,,,,,5.25,4.07,5.38,,
June,,,,,,,,6.07,3.92,2.19,,
July,,,,,,,,3.12,5.18,5.80,,
August,,,,,,,,9.21,6.64,4.50,,
September,,,,,,,,2.46,10.00,2.87,,
October,,,,,,,,4.72,1.47,12.07,,
November,,,,,,,,6.77,6.08,6.11,,
December,,,,,,,,7.97,8.37,10.28,,
Total,,,,,,,,,70.02,68.80,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.57,70.02,68.80,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
