INVERARAY STRONSHIRA,,,,,,,,,,,,,,,,,,,,
Grid ref,NN1137609796,Long,-5.045565,Lat,56.243144,Elevation,15,ft,,,,,,,,,,,,
Station no,RR8446,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,9.19,8.99,9.51,7.45,6.17,,,7.6,16.15,5.17,9.1,8.15
February,,,,,,,,,5.87,4.12,9.06,13.29,5.15,,,10.31,7.95,1.5,9.17,1.9
March,,,,,,,,,7.1,1.06,3.95,3.25,6.32,,,5,1.51,4.85,3,3.87
April,,,,,,,,,2.13,5.43,7.23,8.08,4.91,,,6.77,7.84,3.01,1.6,9.1
May,,,,,,,,5.25,4.07,5.38,3.63,4.72,,,,,8.01,3.15,3.98,1.15
June,,,,,,,,6.07,3.92,2.19,2.47,4.41,,,,,1.01,4.17,4.67,8.35
July,,,,,,,,3.12,5.18,5.8,5.61,5.79,,,2.5,6.15,4.17,1.99,3.1,0.89
August,,,,,,,,9.21,6.64,4.5,8.93,7.67,4.44,,9.5,3.97,2.98,7.45,,8.88
September,,,,,,,,2.46,10,2.87,2.91,3.62,6.71,,6,3.07,4.11,8.71,,10.15
October,,,,,,,,4.72,1.47,12.07,3.64,5.01,14.1,,2.1,3.27,9.2,18.1,15.2,2.5
November,,,,,,,,6.77,6.08,6.11,4,10.25,9.59,,11.72,1.95,14.72,14.7,12.67,7.1
December,,,,,,,,7.97,8.37,10.28,9.4,12.94,14.48,,15.01,9.93,10.55,12.1,8.47,14.1
Total,,,,,,,,,70.02,68.8,70.34,86.48,,,,,88.2,84.9,,76.14
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
BR 1915 P May June Bracketed Deleted,,,,,,,,,,,,,,,,,,,,
BR 1916 P May June apportioned,,,,,,,,,,,,,,,,,,,,
BR 1918 () Aug Sep Bracketed Deleted,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8446,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
