WESTEND-MOOR-BLACKLOW-COTE-NEW-POSITION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK145936,Long,-1.7831904,Lat,53.438979,Elevation,970,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,5.22,3.32,5.09,7.55,7.51,7.47,,4.7,,7.1,10.3,6.21,7.44,4.7,13.96,3.66,3.61,5.66,,2.11,5.8,,7.6,4.37,5.75,5.2,8.8
February,,,,0.39,9.09,,8.6,3.23,4.78,,7.2,,4.8,3.33,6.32,9.52,4,4.38,2.84,8.08,6.25,2.8,3.6,4.55,,1.58,4.37,7.5,0.51,4.18
March,,,,5.53,2.71,,4.2,2.82,4.55,4.16,7.5,3.35,2.07,1.63,1.91,2.25,9.2,2.02,2.42,2.22,6.17,3.43,4.15,1.78,,2.6,,,,2.18
April,,,,3.68,3.32,2.26,3.98,0.79,3.07,4.21,3.53,2.26,3.22,4,3.03,1.87,4.11,2.96,5.08,5.24,3.27,3.7,3.38,0.72,,2.71,0.67,1.55,4.53,
May,,,,3.46,0.71,1.75,3.18,4.28,2.82,1.15,3.85,4.35,3.69,4.74,3.4,2.5,3.54,2.15,3.37,3.04,3.24,3.07,2.43,3.79,5.24,1.4,1.68,4.78,1.24,2.2
June,,,,1.79,4.42,3.58,2.06,4.42,3.38,1.46,2.75,1.2,3.48,3.29,5.86,5.66,2.91,7.15,1.11,2.37,1.46,3.21,3.98,3.4,4.08,4.73,1.6,4.7,1.8,1.65
July,,,,7.15,2.62,6.12,3.92,5.52,8.71,4.92,3.38,5.84,2.71,4.55,1.65,5.25,2.72,2.09,2.7,3.95,3.25,3.71,7.18,6.2,1.18,8.81,5.37,6.96,4.34,8.7
August,,,,4.07,2.3,2.92,1.95,3.95,2.92,2.74,8.09,5.26,6.53,3.9,3.42,5.41,0.37,5.17,3.44,4.31,6.09,3.09,5.41,7.11,1.2,10.69,8,4.13,0.57,4.98
September,,,,3.78,7.06,7.51,2.07,3.31,2.9,5.25,0.75,3.86,4.86,5.92,3.12,6.45,2.5,3.31,2.33,6.55,3,7.2,2.58,5.65,1.95,4.18,9.57,5.38,0.1,5.16
October,,,,8.31,13.85,6.33,3.42,9.65,4.49,5,6.91,7.76,2.91,6.28,7.97,1.59,1.66,3.68,4.72,2.98,0.87,7,2.7,7.75,3.67,3.39,5.21,3.6,5.09,7.98
November,,,,3.82,8.48,8.19,2.54,8.25,9.4,,4.44,2.36,5.45,9.5,0.9,10.54,6.75,2.35,9.9,8.89,11.62,4.54,3.43,8.42,2.78,2.8,3.21,1.54,6.95,7.95
December,,,,7.13,5.53,6.11,5.25,6.18,4.56,6.87,4.45,,3.07,5,4,5.54,6.78,4.9,10.67,3.4,7.04,5.28,2.68,9.48,5.74,6.54,6.3,5.27,9.37,5.98
Total,,,,54.33,63.41,,48.72,59.91,59.05,,57.55,,49.89,62.44,47.79,64.02,49.24,54.12,52.24,54.64,57.92,,43.63,64.65,,57.03,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is Blacklow Court (not Cote?). Altitudes match. MIDAS has the station in the same location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan & Feb 1941 and Jan, Feb & Mar 1947 corrected/estimated for snow; left in this record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
