"WESTEND MOOR (BLACKLOW COTE) 15",,,,,,,,,,,,
Grid ref,SK145936,Long,-1.783190,Lat,53.438979,,,,,,,
Station no,2704,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.66,7.20,2.11,5.80,3.77,7.60,4.37,5.75,5.20,8.80,,
February,6.25,2.80,3.60,4.55,3.70,1.58,4.37,7.50,0.51,4.18,,
March,6.17,3.43,4.15,1.78,3.68,2.60,4.56,3.80,2.75,2.18,,
April,3.27,3.70,3.38,0.72,2.22,2.71,0.67,1.55,4.53,3.12,,
May,3.24,3.07,2.43,3.79,5.24,1.40,1.68,4.78,1.24,2.20,,
June,1.46,3.21,3.98,3.40,4.08,4.73,1.60,4.70,1.80,1.65,,
July,3.25,3.71,7.18,6.20,1.18,8.81,5.37,6.96,4.34,8.70,,
August,6.09,3.09,5.41,7.11,1.20,10.69,8.00,4.13,0.57,4.98,,
September,3.00,7.20,2.58,5.65,1.95,4.18,9.57,5.38,0.10,5.16,,
October,0.87,7.00,2.70,7.75,3.67,3.39,5.21,3.60,5.09,7.98,,
November,11.62,4.54,3.43,8.42,2.78,2.80,3.21,1.54,6.95,7.95,,
December,7.04,5.28,2.68,9.48,5.74,6.54,6.30,5.27,9.37,5.98,,
Total,57.92,54.23,43.63,64.65,39.21,57.03,54.91,54.96,42.45,62.88,,
Calc annual,57.92,54.23,43.63,64.65,39.21,57.03,54.91,54.96,42.45,62.88,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
