"WESTEND MOOR BLACKLOW COTE",,,,,,,,,,,,
Grid ref,SK144935,Long,-1.784700,Lat,53.438083,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,6.32,2.13,3.73,3.41,,
February,,,,,,,4.04,2.69,4.61,4.32,,
March,,,,,,,4.24,4.85,4.23,5.22,,
April,,,,,,,1.98,3.26,3.31,3.02,,
May,,,,,,,3.68,4.47,3.34,2.72,,
June,,,,,,,1.62,7.65,2.26,4.52,,
July,,,,,,,3.28,3.65,5.74,6.38,,
August,,,,,,,4.13,4.92,4.17,2.57,,
September,,,,,,,1.66,0.63,3.54,3.77,,
October,,,,,,,6.28,8.45,1.60,6.85,,
November,,,,,,,6.58,4.56,4.84,2.34,,
December,,,,,,,4.84,4.67,2.71,10.22,,
Total,54.12,47.84,41.77,,-999.00,,48.65,51.93,44.08,55.34,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,48.65,51.93,44.08,55.34,,
Difference,54.12,47.84,41.77,NaN,-999.00,NaN,0.00,-0.00,-0.00,0.00,,
