THE GLEN PEEBLES,,,,,,,,,,,,,,,,,,,,
Grid ref,NT297330,Long,-3.1168301,Lat,55.585546,Elevation,765,ft,,,,,,,,,,,,
Station no,RR6568,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,5,,4.9,4.35,,,,,,,5.6,1.35,8.51,,
February,,,,,,2.6,,2.95,9.79,,,,,,,1.18,3.32,4.9,,
March,,,,,,2.3,,1.47,6.41,,,,,,,0.68,4.04,1.72,,
April,,,,,,0.8,,6.2,3.1,,,,,,,0.55,2.46,2.5,,
May,,,,,,4.65,,1.89,1.76,,,,,,,1.24,0.99,1.37,,
June,,,,,,0.42,,1.35,0.21,,,,,,,1.54,3.51,3.13,,
July,,,,,,,,1.76,,,,,,,,2.95,1,6.44,,
August,,,,,,,,1.29,3.08,,,,,,,1.77,2.05,6.85,,
September,,,,,,,,3.34,1.74,,,,,,,4,2.63,1.67,,
October,,,,,,5.3,,2.12,3.56,,,,,,,4.85,2.67,5.68,,
November,,,,,,4.4,,0.6,,,,,,,,4.01,2.59,7.05,,
December,,,,,,5,,3.31,,,,,,,,2.91,5.29,2.31,,
Total,,,,,,,,31.18,,,,,,,,31.28,31.9,52.13,,
