CANONBURY-ST-MARYS-ROAD-OBS-REYNOLDS,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ319845,Long,-0.099311691,Lat,51.54399,Elevation,117,ft.,,,,,,,,,,,,
Station no,RR7729,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,3.92,2.79,3.71,2.56,1.27,1.89,3.34,2.17,1.13,,,,,
February,,,,,,,3.69,1.36,1.19,2.26,1.14,1.22,0.87,1.95,0.82,,,,,
March,,,,,,,1.62,2.3,1.15,1.56,2.1,1,2.57,1.41,0.46,,,,,
April,,,,,,,1.78,2.21,1.55,1.24,0.42,2.91,1.21,0.54,1.2,,,,,
May,,,,,,,1.96,2.27,1.19,3.09,0.67,0.81,2.87,1.6,1.23,,,,,
June,,,,,,,3.6,1.13,0.6,1.04,0.68,3.67,2.28,2.32,2.03,,,,,
July,,,,,,,1.38,4.25,0.42,0.67,1.27,3.96,3.2,1.69,1.46,,,,,
August,,,,,,,2.6,2.44,2.39,1.15,1.96,0.86,2.72,2.63,1.16,,,,,
September,,,,,,,3.51,2.27,1.95,3.4,1.84,5.44,1.44,2.38,2.64,,,,,
October,,,,,,,2.29,1.96,2.45,1.69,3.58,1.28,4.52,2.88,3.27,,,,,
November,,,,,,,1.61,0.9,0.93,2.35,1.75,0.51,3.45,1.74,,,,,,
December,,,,,,,2.35,1.64,4.56,2.81,3.15,1.03,4.12,0.39,,,,,,
Total,,,,,,,30.31,25.52,22.09,23.82,19.83,24.58,32.59,21.7,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is 2 St Marys Road, now Grove. Altitudes match",,,,,,,,,,,,,,,,,,,,
