CANONBURY-ST-MARYS-ROAD-OBS-SPILLER,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ319845,Long,-0.099311691,Lat,51.54399,Elevation,117,ft.,,,,,,,,,,,,
Station no,RR7729,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,0.85,2.45,1.68,0.55,1.41,2.91,1.93,,,,
February,,,,,,,,,0.8,2.19,1.03,0.02,1.43,2.95,1.76,0.16,,,,
March,,,,,,,,,3.24,1.43,1.84,1.65,1.05,0.26,1.23,1.42,,,,
April,,,,,,,,,2.3,2,1.99,0.89,1.02,0.11,1.85,1.31,,,,
May,,,,,,,,,0.75,3.58,1.36,2.79,1.39,0.75,1.85,0.55,,,,
June,,,,,,,,,2.78,1.76,2.68,1.05,2.85,0.76,1.9,0.28,,,,
July,,,,,,,,,4.22,2.64,4.17,3.87,1.57,2.12,3.24,3.2,,,,
August,,,,,,,,,3.34,1.86,1.91,4.66,3.26,1.42,3.22,3.19,,,,
September,,,,,,,,,1.21,1.97,0.56,1.09,2.23,1.08,0.99,1.67,,,,
October,,,,,,,,,1.3,3.61,1.17,4.71,4.03,3.86,3.57,2.75,,,,
November,,,,,,,,,4.31,0.88,1.66,1.96,2.49,2.12,2.68,2.94,,,,
December,,,,,,,,,1.28,1.26,0.65,3.05,1.36,2,2.23,2.07,,,,
Total,,,,,,,,,,24.03,21.47,27.42,23.23,18.84,27.43,21.47,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is South end of St Marys Road at the stated altitude. The observer's family, Spiller, lived at No. 2 earlier and this is the likely location and is the NGR used",,,,,,,,,,,,,,,,,,,,
