DUNDEE POWDER MAGAZINE,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 408 302,Long,-2.962288,Lat,56.460323,Elevation,50,ft,,,,,,,,,,,,
Station no,RR1718,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,,,2,0.8,0.8,3.4,,,,2.76,,,,,
February,,,,,,,,4.15,0.6,0.84,1.5,,,,2.15,,,,,
March,,,,,,,,1.7,1.7,2,0.3,,,,1,,,,,
April,,,,,,,,1.7,1.2,0.8,0,,,,0.6,,,,,
May,,,,,,,,2.1,2.3,0.5,2.2,,,,0.12,,,,,
June,,,,,,,,3.7,3.7,2.8,,,,,,,,,,
July,,,,,,,,2.31,1.9,3.6,,,,,2.62,,,,,
August,,,,,,,,1.1,2.7,1.3,,,,,1.75,,,,,
September,,,,,,,,1.02,1.9,4.1,,,,,2.8,,,,,
October,,,,,,,,1,1.5,2.5,,,,,0.78,,,,,
November,,,,,,,,1.7,3,2.6,,,,,4.9,,,,,
December,,,,,,,,,0.9,3.5,,,,,,,,,,
Total,,,,,,,,,22.2,25.34,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Location Low Confidence,,,,,,,,,,,,,,,,,,,,
