PERTH (THE ACADEMY),,,,,,,,,,,,,,,,,,,,
Grid ref,NO 10039 23099,Long,-3.458816,Lat,56.391564,Elevation,200,ft,,,,,,,,,,,,
Station no,5545/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,3.95,2.38,3.42,3.27,1.67,3.01,3.51,4.59,2,3.18,3.07,2.34,4.36,,
February,,,,,,2.66,3.16,0.67,2.82,1.8,4.33,2.06,1.92,0.83,2.29,1.31,2.3,2.62,,
March,,,,,,1.86,2.58,0.33,1.76,3.03,2.68,1.31,1,0.13,0.95,2.09,4.41,1.04,,
April,,,,,,0.57,1.22,0.06,1.5,2.05,1.35,1.93,1.48,1.98,0.98,,3.42,1.23,,
May,,,,,,0.32,1.97,2.7,1.4,0.78,3.33,2.67,2.53,1.76,3.54,1.01,3.88,2.75,,
June,,,,,,0.62,1.35,2.44,1.78,0.61,1.53,2.01,3.21,2.4,2.78,,2.93,3.51,,
July,,,,,,3.5,3.47,3.03,3.53,5.9,2.67,1.97,2.8,,2.5,,3.75,,,
August,,,,,,1.25,4.3,1.5,,1,3.7,3,4.11,,1.77,,0.2,,,
September,,,,,,2.8,0.95,2.75,3.8,2.11,0.87,3.16,3.09,,3.19,4.13,2.74,,,
October,,,,,,2.01,2.89,5.52,3.78,3.79,2.29,2.25,5.1,,4,,2,,,
November,,,,,,1.8,0.63,4.15,4.35,4.56,2.67,0.42,0.94,,0.25,4.59,2.25,,,
December,,,,,,3.66,2.32,2.35,1.24,2.33,1.84,1.75,1.43,,3.37,,1.75,,,
Total,,,,,,25,27.22,28.92,29.23,29.63,30.27,26.04,32.2,,28.8,,31.97,,,
,,,,,,,,,,,,,,,,,,,,
moved here in 1932,,,,,,,,,,,,,,,,,,,,
