PERTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 116 240,Long,-3.432509,Lat,56.400163,Elevation,83,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5545/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,,,,4.66,4.75,3.43,,1.55,1.77,1.49,3.67,3.05,1.43,3.52,3.03,1.57,3.05,3.04,4.17,3.81,4.54,1.56,1.33,3.36,3.38,1.72,4.62,1.45,3.51,2.12,0.87,2.97,0.8,,,,,,,,
February,,,,,,,,,,,,,2.46,0.99,0.97,,2.61,1.33,0.86,1.49,1.53,1.02,1.06,1.11,2.44,2.9,2.77,1.33,2.5,1.59,1.74,2.6,2.54,0.81,0.46,0.66,3.15,1.74,0.05,1.33,2.51,1.56,,,,,,,,
March,,,,,,,,,,,,,0.26,0.53,1.17,,0,1.97,0.87,1.7,1.2,2.25,1.56,0.44,1.95,1.65,1.7,1.33,2.51,1.45,0.44,1.3,1.82,0.71,1.79,1.65,2.95,1.33,0.06,1.82,1.91,0.89,,,,,,,,
April,,,,,,,,,,,,,0.68,0.82,0.07,,0.81,1.55,0.89,2.53,1.16,0.31,1.47,1.78,0.78,1.35,0.73,2.17,2.29,1.18,0,2.76,0.85,0,0.79,0.71,3.45,2.09,2.1,1.38,2.76,0.27,,,,,,,,
May,,,,,,,,,,,,,1.07,0.51,2.62,,1.6,1.52,1.64,0,0.65,0.78,2.68,0.88,0.87,2.55,0.64,2.92,1.7,0.29,1.54,0.7,3.62,1.64,1.49,0.78,0.37,1.69,3.1,1.55,0.62,2.12,,,,,,,,
June,,,,,,,,,,,,,2.68,4.3,1.73,,2.49,2.05,1.37,2.13,3.72,1.09,3.11,2.28,1.5,0.7,1.44,1.08,0.05,1.96,0.73,1.88,3.24,0.81,0.31,1.71,2.33,2.29,2.1,2.79,1.41,1.43,,,,,,,,
July,,,,,,,,,,,,,2.22,2.78,2.3,,1.35,1.37,5.36,0.82,1.81,2.75,1.95,0.19,1.09,1.23,2.24,3.82,0.22,0.97,1.03,2.41,3.09,3.41,2.13,1.32,1.76,2.28,0.12,1.93,3.34,2.96,,,,,,,,
August,,,,,,,,,,,,,3.91,2.96,1.02,,3.09,1.45,0.97,1.61,2.2,3.9,1.63,3.06,1.6,2.66,5.17,3.19,3.51,1.42,1.04,1.74,2.52,2.41,3,1.9,1.98,3.71,2.73,3.74,0.82,3.42,,,,,,,,
September,,2.81,,,,,,,,,,,1.43,1.75,0.77,,4.6,1.91,2.12,2.21,0.75,3.85,1.89,3.03,2.36,1.16,0.53,1.31,2.41,3.79,1.81,1.34,3.3,2.28,2.88,2.49,1.45,1.24,2,1.73,2.37,2.05,,,,,,,,
October,,,,,,,,,,,,,1.6,3.86,1.98,,1.06,0.99,2.27,0.92,2.08,1.44,3.2,1.9,1.6,3.69,2.14,1.99,1.39,2.17,2.42,2.86,2.19,2.75,2.49,4.26,2.55,3.13,2.59,0.99,0.61,2.97,,,,,,,,
November,,,,,,,,,,,,,3.15,1.98,2.66,,0.5,1.57,1.29,2.74,2.11,2.21,1.23,2.13,2.03,2.22,1.74,0.13,1.65,0.7,0.96,1.19,5.23,1.62,2.78,4.62,3.01,2.76,1.16,0.81,2.07,3.3,,,,,,,,
December,,2.15,,,,,,,,,,,6.29,0.75,1.75,,2.71,0.98,1.92,0.79,2.36,1.75,2.67,2.16,1.59,1.27,2.79,1.16,4.25,2.79,2.67,1.24,3.05,2.22,0.77,2.67,3.68,1.73,0.14,0.21,2.04,1.87,,,,,,,,
Total,,,,,,,,,,,,,30.41,25.98,20.47,,22.37,18.46,21.05,20.61,22.62,22.78,25.97,21.99,19.38,24.43,24.93,24.6,26.29,22.85,15.94,21.35,34.81,22.04,20.61,27.39,28.13,27.5,18.27,19.15,23.43,23.64,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
