STRATFORD ON AVON THURLASTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP207542,Long,-1.698645,Lat,52.185662,Elevation,135,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2443/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,
January,,,,1.62,0.53,2.51,2.81,2.75,5.18,2.79,2.68,2.72,3.89,1.93,1.28,1.56,1.72,3.97,0.96,0.38,2.54,1.57,0.92,1.08,2.43,3.65,1.4,2.48,3.67,4.15,,,,,,,,,,,,,,,,
February,,,,0.3,2.04,1.59,3.34,0.67,1.07,2.05,1.96,0.73,1.44,1.25,1.77,2.12,1.33,0.95,0.78,4.03,2.78,0.55,1.16,2.51,1.4,0.52,2.07,3.51,0.15,1.99,,,,,,,,,,,,,,,,
March,,,,1.66,0.43,1.66,2.58,0.26,1.15,1.7,2.21,1.6,0.85,0.36,0.76,0.88,5.99,1.08,1.48,1.06,3.94,2.18,0.99,2.08,2.05,0.74,1.79,1.08,2.55,1.04,,,,,,,,,,,,,,,,
April,,,,2.23,3.39,1.71,2.52,0.09,1.64,2.28,0.89,0.74,0.79,1.92,0.8,1.89,1.91,1.81,2.01,2.05,2.7,1.87,1.86,0.93,0.94,1.04,0.23,0.65,2.63,0.8,,,,,,,,,,,,,,,,
May,,,,0.65,1.32,0.67,2.01,1.31,0.84,1.92,1.96,3.69,3,1.5,2.44,2.32,1.51,3.22,2.46,2.25,2.67,2.66,1.4,2.6,4.92,0.75,1.39,2.17,1.08,1.43,,,,,,,,,,,,,,,,
June,,,,0.5,4.57,2.72,1.04,1.08,2.09,0.51,1.12,0.44,1.68,2.32,3.05,1.99,1.21,2.17,0.41,2.71,1.16,1.71,1.89,3.12,2.82,2.12,1.1,4.2,0.94,1.97,,,,,,,,,,,,,,,,
July,,,,3.27,0.39,5.48,4.93,1.72,5.08,3.17,4.16,1.71,0.86,2.48,1.11,1.21,1.84,1.08,1.12,3.14,0.85,0.32,3.9,2.99,0.12,1.43,4.11,3.33,1.62,4.14,,,,,,,,,,,,,,,,
August,,,,1.4,1.12,0.42,0.94,3.38,2.9,0.23,4.1,3.02,1.45,2.15,3.39,5.39,0.29,3.01,1.55,2.76,4.65,3.69,3.21,3.6,0.26,5.23,3.47,2.43,0.94,4.59,,,,,,,,,,,,,,,,
September,,,,1.87,3.99,2.58,1.79,2.26,1.07,1.21,0.42,1.1,1.61,2.27,1.78,2.82,1.75,3.04,1.56,3.69,1.81,1.11,2.74,1.91,1.15,2.56,3.64,3.44,0.1,3.95,,,,,,,,,,,,,,,,
October,,,2.85,1.36,3.09,1.15,2.04,2.37,2.9,3.26,3.1,2.53,1.96,2.81,3.71,0.56,0.36,2.72,5.37,0.47,1.02,2.63,2.13,2.86,1.18,1.87,1.17,3,2.59,3.45,,,,,,,,,,,,,,,,
November,,,0.9,1.81,3.97,1.92,1.41,2.15,3.76,5.74,2.4,1.85,1.28,3.75,0.36,4.68,1.5,1.39,2.39,3.87,5.33,2.66,1.06,4.88,1.34,0.72,1.54,2.59,2.6,3.09,,,,,,,,,,,,,,,,
December,,,0.32,3.82,2.99,2.24,1.76,2.85,1.38,1.5,1.1,2.85,0.82,1.22,2.82,1.9,1.92,2.09,1.16,1.41,1.99,2.52,0.89,1.65,2.16,2.84,1.86,2.49,3.64,3.07,,,,,,,,,,,,,,,,
Total,,,18.59,20.49,27.83,24.65,27.17,20.89,29.06,26.36,26.1,22.98,19.63,23.96,23.27,27.32,21.33,26.53,21.25,27.82,31.44,23.47,22.15,30.21,20.77,23.47,23.77,31.37,22.51,33.67,,,,,,,,,,,,,,,,
