STRATFORD ON AVON AVONFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP199542,Long,-1.710346,Lat,52.185691,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2443/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,
January,,,,,,,2.05,3.34,1.47,2.36,0.56,1,2.18,2.4,2.08,1.22,2.9,,,,,,,,,,,,,,,,0.53,1.95,1.37,0.9,3.63,1.06,0.79,1.07,2.3,0.73,3.1,3.67,0.76,2.53,1.17,1.71,2.34,3.77,1.86,1.92,1.95,1.46,2.97,1.47,2.34,2.26,3.35,1.11,3.1,1.31,1.59,1.6,,,,,,,,,,,
February,,,,,,,2.26,1.22,1.08,2.21,2.58,3.19,1.62,2.74,1.29,2.75,0.53,,,,,,,,,,,,,,,,1.11,0.84,3.7,0.45,1.43,1.13,1.27,0.57,2.3,1.34,1.76,0.96,1.12,2.3,3.55,1.16,0.93,2.55,0.63,0.16,1.7,3.45,0.55,2.58,2.16,2.55,1.65,0.46,0.6,2.33,0.26,2.89,,,,,,,,,,,
March,,,,,,,2.83,1.42,0.55,0.92,1.41,1.28,1.87,1.17,1.17,0.9,2.14,,,,,,,,,,,,,,,,1.64,2.91,1.27,2.83,1.06,0.77,2.68,3.07,0.74,2.18,3.13,2.92,2.3,1.11,3.82,1.89,0.91,4.05,1.98,0.85,2.08,1.91,0.56,0.86,0.8,1.87,1.81,0.03,1.6,0.05,1.49,2.32,,,,,,,,,,,
April,,,,,,,2.79,1.9,1.75,2.37,1.24,0.44,3.37,1,2.24,1.91,1.65,,,,,,,,,,,,,,,,2.03,1.48,1,1.95,0.62,2.14,2.59,1.68,1.96,0.89,0.1,2.8,1.03,0.87,1,1.38,2.99,1.35,3.47,0.9,2.1,2.1,2.23,1.85,1.97,1.5,1.44,0.93,2.2,3.86,2.86,1.03,,,,,,,,,,,
May,,,,,,,0.52,2.21,5.26,2.94,1.03,1.14,1.86,1.55,0.9,2.96,4.51,,,,,,,,,,,,,,,,2.74,3.07,2.38,0.27,1.99,3.25,1.53,1.39,1.58,0.52,2.63,1.88,1.33,3.69,2.4,2.64,2,0.69,1.77,1.27,0.72,1.77,5.68,2.63,3.76,1.16,0.53,1.54,1.8,3.64,8.49,1.07,,,,,,,,,,,
June,,,,,,,2.06,0.61,2.32,4.24,2.23,2.06,3.85,3.07,2.42,2.65,1.35,,,,,,,,,,,,,,,,2.83,2.06,0.42,2.97,3.99,2.45,1.94,3.72,1.59,1.5,4.79,1.39,2.39,1.19,2.21,1.85,0.66,0.59,2.25,0.9,0.88,0.18,1.79,0.13,1.83,3.34,2.81,1.3,1.7,2.58,0.92,2.33,,,,,,,,,,,
July,,,,,,,0.99,3.42,0.81,2.67,7.02,1.76,2.69,3.13,2.36,,2.96,,,,,,,,,,,,,,,,1.16,2.63,3.44,1.81,1.48,1.99,2.06,3.09,2.83,0.31,3.45,1.86,3.19,5.77,1.84,1.18,2.9,3.22,3.5,0.16,2.82,1.33,3.56,3.37,1.59,2.12,1.27,1.79,3.3,4.33,2.4,1.37,,,,,,,,,,,
August,,,,,,,1.68,3.37,4.11,6.23,0.79,4.7,1.83,0.54,2.3,1.63,0.94,,,,,,,,,,,,,,,,3.84,3.11,1.74,4.28,0.84,3.14,1.93,2.58,3.36,1.49,6.84,0.65,1.84,1.43,2.01,3.68,0.83,2,1.39,2.82,5.1,3.04,3.41,1.75,1.89,3.07,1.93,1.4,2.2,3.42,1.64,0.69,,,,,,,,,,,
September,,,,,,,4.57,1.72,2.82,3.35,4.36,2.5,3.72,4.35,1.56,3.22,2.28,,,,,,,,,,,,,,,,1.13,1.86,1.56,1.31,1.23,0.52,1.85,2.75,0.61,1.6,0.63,2.3,0.93,0.77,0.9,1.73,5.08,1.78,3,1.14,1.37,2.25,2.67,3.41,0.91,4.72,0.63,1.74,3,2.78,2.93,1.22,,,,,,,,,,,
October,,,,,,,1.23,1.33,2.86,1.42,4.34,2.06,6.38,1.62,0.7,3.38,3.99,,,,,,,,,,,,,,,,2.41,5.16,1.26,1,3.69,5.74,1.94,3.16,2.07,1.78,2.43,2.52,1.6,2.3,2.73,2.42,1.38,1.66,1.96,1.35,0.89,4.71,4.27,3.18,2.11,1.09,3.45,3.33,1.8,0.7,3.46,,,,,,,,,,,,
