KEMPSEY (Napleton House),,,,,,,,,,,,,,,,,,,,,
Grid ref,SO860488,Long,-2.2059675,Lat,52.137317,Elevation,100,ft,,,,,,,,,,,,,
Station no,2398,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.12,3.18,1.46,3.13,2.06,3.87,1.07,3.84,1.18,1.79,1.48,2.13,0.65,2.83,2.81,2.53,4.88,3.16
February,,,,4.53,0.4,2.38,2.21,2.59,1.8,0.58,0.61,1.76,0.14,2.56,0.39,1.33,2.39,3.69,0.48,0.95,2.29
March,,,,1.53,0.85,0.41,0.6,2.05,3,0.03,1.97,0.13,1.13,2.1,1.81,0.56,2.37,2.33,0.19,1.38,1.31
April,,,,2.93,2.81,1.48,2.12,1.31,1.09,0.87,2.32,2.65,3.12,1.02,2.35,3.69,1.73,1.87,0.07,2.15,2.23
May,,,,2,6.02,2.91,3.94,1.21,1.03,1.41,1.78,3.96,7.52,2.03,0.85,1.67,0.72,2.49,1.49,1.1,2.56
June,,,,0.24,2.39,0.02,1.28,3.07,2.14,1.27,0.61,3.86,1.4,1.99,0.58,2.96,5.11,1.14,1.08,2.97,0.62
July,,,,3.86,3.68,2.73,1.87,3.26,1.17,1.93,3.22,2.71,1.76,1.35,0.11,0.36,4.86,2.58,2.58,4.01,2.51
August,,,,1.76,2.46,2.01,2.59,3.34,1.89,1.52,2.63,3.92,3.03,0.55,2.04,1.29,0.25,0.43,2.67,1.87,0.15
September,,,,1.88,3.61,3.68,0.65,3.99,0.76,0.46,4.13,1.98,3.06,1.57,2.15,3.72,2.68,2.81,1.43,1.13,
October,,,,4.43,3.5,3.05,2.28,1.46,4.27,3.63,2.15,0.72,3.2,3.49,0.89,3.06,1.48,2.29,2.32,3.04,3.64
November,,,1.11,1.12,2.35,1.39,5.79,2.85,2.32,7.11,2.63,3.13,1.4,0.56,1.45,4.53,2.06,1.56,2.4,2.45,4.94
December,,,2.92,2.47,2.64,2.09,0.36,2.36,1.99,5.04,3.49,0.61,0.97,0.46,4.35,3.18,2.18,1.92,3.17,1.5,1.26
Total,,,,27.87,33.89,23.61,26.82,29.55,25.33,24.92,29.38,26.61,28.52,19.16,19.1,27,28.66,25.92,20.41,27.43,
,,,,,,,,,,,,,,,,,,,,,
1940 Sept estimated,,,,,,,,,,,,,,,,,,,,,
1936 Feb edited to ensure totals match,,,,,,,,,,,,,,,,,,,,,
