KEMPSEY (DRAYCOTT LODGE),,,,,,,,,,,,,,,,,,,,,
Grid ref,SO853482,Long,-2.2161484,Lat,52.132145,Elevation,70,ft,,,,,,,,,,,,,
Station no,2398,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,3.05,2.62,2.94,,,,,,,,,,,,,,,,,,
February,0.88,0.24,2.82,,,,,,,,,,,,,,,,,,
March,2.99,1.04,1.66,,,,,,,,,,,,,,,,,,
April,4.42,0.98,2.08,,,,,,,,,,,,,,,,,,
May,1.6,1.46,0.75,,,,,,,,,,,,,,,,,,
June,2.61,0.65,0.74,,,,,,,,,,,,,,,,,,
July,4.43,0.6,3.93,,,,,,,,,,,,,,,,,,
August,0.71,3.36,2.97,,,,,,,,,,,,,,,,,,
September,2.53,1,2.02,,,,,,,,,,,,,,,,,,
October,2.4,1.68,,,,,,,,,,,,,,,,,,,
November,0.72,2.09,,,,,,,,,,,,,,,,,,,
December,2.33,1.4,,,,,,,,,,,,,,,,,,,
Total,28.67,17.12,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1920 July,,,,,,,,,,,,,,,,,,,,,
