BRIGHTON-PRESTONVILLE-ROAD (5 INCH GAUGE),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ305052,Long,-0.14827638,Lat,50.831632,Elevation,185,ft,,,,,,,,,,,,
Station no,RR6721,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,1.06,,2.79,,0.99,1.85,,,,,,
February,,,,,,,,1.02,1.71,,1.34,,1.2,,,,,,,
March,,,,,,,,,3.51,1.64,1.51,1.97,1.03,0.35,,,,,,
April,,,,,,,2.62,,1.14,2.25,2.53,0.6,1.28,,,,,,,
May,,,,,,,6.02,,1.22,1.58,1.82,2.59,1.44,0.55,,,,,,
June,,,,,,,0.99,,3,,2.77,1.94,2.06,,,,,,,
July,,,,,,,3.52,,4.63,,3.01,2.68,1.96,,,,,,,
August,,,,,,,1.71,,2.35,,2.97,5.27,2.89,,,,,,,
September,,,,,,,0.95,2.4,0.84,,0.81,1.17,2.7,,,,,,,
October,,,,,,,3.67,1.13,2.31,6.63,1.31,7.31,5.54,,,,,,,
November,,,,,,,4.78,4.49,3.56,1.15,2.95,3.52,2.82,,,,,,,
December,,,,,,,5.82,1.77,1.69,,0.43,2.68,2.58,,,,,,,
Total,,,,,,,,,27.02,,24.24,,26.49,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1889 Jan Feb Jun Jul Aug Sep Dec removed as duplicate values,,,,,,,,,,,,,,,,,,,,
1891 Jan Feb removed as duplicate values,,,,,,,,,,,,,,,,,,,,
1893 Feb Apr removed as duplicate values,,,,,,,,,,,,,,,,,,,,
