BRIGHTON-PRESTONVILLE-ROAD (8 INCH GAUGE)  (MONTHLY FROM 1890),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ305052,Long,-0.14827638,Lat,50.831632,Elevation,185,ft,,,,,,,,,,,,
Station no,RR6721,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,1.23,,2.29,1.04,1.87,,,,,,
February,,,,,,,,,,2.36,,0.01,1.28,3.36,,,,,,
March,,,,,,,,,,1.6,,2.3,1,0.34,,,,,,
April,,,,,,,,,,1.98,2.47,0.66,1.31,0.06,,,,,,
May,,,,,,,,,,1.45,1.78,2.62,1.47,0.56,,,,,,
June,,,,,,,,,,0.29,2.69,1.96,2.07,,,,,,,
July,,,,,,,,,,3.49,2.94,2.54,1.95,,,,,,,
August,,,,,,,,,,2.43,2.81,5.12,2.86,,,,,,,
September,,,,,,,,,,0.86,0.79,1.14,2.69,,,,,,,
October,,,,,,,,,,6.58,1.59,7.17,5.52,,,,,,,
November,,,,,,,,,,1.06,2.87,3.53,2.77,,,,,,,
December,,,,,,,,,,1.76,0.42,2.7,2.62,,,,,,,
Total,,,,,,,,,,25.09,,32.04,26.58,,,,,,,
