MERTHYR MAWR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS889779,Long,-3.60158,Lat,51.489099,Elevation,75,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,1.25,5.33,7.07,2.31,4.54,2.83,2.13,4.62,5.75,5.42,6.48,4,4.65,5.7,4.06,6.89,5.23,7.96,2.51,6.06,3.98,4.71,2.68,4.01,1.29,5.21,4.66,5.96,6.31,4.91,4.75,4.89,7.76,4.6,5.46,3.73,3.74,9.8,2.26,1.74,5.72,4.71,1.67,3.26,3.19,6.18,3.46,3.15,5.24,5.05,,
February,,3.59,2.82,1.36,3.58,5.87,6.02,2.48,3.15,5.07,2.09,0.25,4.16,8.97,0.79,6.01,3.83,3.34,4.44,1.53,0.69,5.08,0.11,3.71,0.96,3.5,2.06,7.71,1.85,2.43,4.68,4.41,0.51,1.81,2.43,4.99,3.63,0.88,1.94,1.93,6.34,4.3,1.01,1.97,5.47,3.12,0.6,5.38,4.77,0.37,3.24,,
March,,2.26,6.23,5.86,6.76,1.29,3.27,2.36,1.82,5.77,5.5,3.33,4.4,2.26,2.81,1.19,0.83,3.59,4.25,1.26,2.57,1.61,2.07,3.51,3,1.37,3.93,2.67,0.87,1.83,3.26,2.89,3.54,1.18,0.33,1.95,1.34,8.89,1.5,2.58,2.01,5.64,3.86,1.72,3.99,1.48,1.41,5.3,0.85,3.96,2.54,,
April,,1.95,0.31,4.74,2.44,1.55,2.56,1.85,2.56,1.94,5.39,1.24,3.2,3.68,3.3,3.1,2.14,2.04,1.57,1.04,3.53,3.46,2.95,2.8,3.42,6.04,3.04,3.92,0.3,4.41,3.31,2.5,1.17,1.24,3.8,1.7,1.87,2.53,2.18,2.18,3.61,4.15,3.13,3.68,1.03,3.14,1.98,0.31,0.77,3.59,3.12,,
May,,2.41,1.54,2.48,2.26,2.3,3.3,3.9,1.89,1.32,3.55,2.21,1.85,3.03,3.83,5.27,2.37,1.61,0.97,3,3.34,4.83,5.45,2.24,1.78,1.97,1.56,2.2,3.93,1.12,1.74,2.15,4.83,3.64,1.61,4.78,4.95,3.34,3.12,2.59,1.27,3.17,4.48,2.44,2.12,4.38,1.67,1.59,4.46,0.99,1.28,,
June,,2.49,7.1,2.3,2.72,1.93,2.64,3.31,1.78,1.54,3.18,0.13,1.49,0.7,2.51,0.2,2.12,3.45,4.1,2.76,0.96,4.28,2.03,2.31,1.72,3.17,3.52,1.66,3.03,2.91,0.73,1.9,0.46,4.04,3.94,4.12,5.17,2.17,4.11,0.89,1.75,0.57,3.28,3.07,5.14,6.4,3.19,1.04,4.97,2.15,1.47,,
July,,0.27,3.87,0.6,6.28,5.24,1.65,4.46,4.18,1.93,6.26,1.87,5.08,2.74,6.45,3.86,3.23,4.89,2.17,3.04,3.42,5.06,5.63,3.39,0.76,1.27,8.3,3.14,4.62,8.03,4.29,4.24,4.54,2.77,3.46,3.47,2.97,4.81,2.34,1.18,6.07,1.54,1.71,5.84,6.45,1.28,4.36,5.22,4.59,4.72,7.41,,
August,,1.87,10.07,1.28,4.37,1.84,3.46,8.92,3.28,2.42,3.02,3.64,4.35,4.55,7.74,5.85,4.17,5.16,3.66,4.11,7.82,4.36,1.24,1.3,6.17,2.26,1.28,1.02,5.64,3.71,0.39,7.26,5.57,4.02,6.32,2.86,8.08,1.61,8.25,3.98,8.1,7.13,6.75,6.56,4.37,0.47,6.8,4.55,5.3,3.06,4.24,,
September,,3.05,1.14,3.1,2.82,2.15,3.54,3.19,12.33,2.58,3.49,3.41,3.7,4.33,6.03,5.71,2.4,7.07,1.99,1.3,6.38,2.7,6.61,2.34,3.64,7.64,4.35,3.09,2.29,2.29,2.12,0.72,3.83,5.85,4.45,3.03,6.38,2.87,4.83,4.92,8.7,4.33,4.62,4.82,6.01,2.64,5.87,6.13,6.59,0.58,6.11,,
October,,3.61,5.35,4.07,3.23,4.94,9.83,6.08,3.54,2.05,3.6,2.31,0.72,6.98,5.53,5.67,3.23,2.97,8.44,5.85,7.45,1.44,9.29,5.38,3.6,6.11,2.74,3.8,6.44,4.07,6.27,3.53,5.06,3.72,6.11,4.57,1.22,1.77,6.96,9,3.38,1.84,5.23,2.63,6.92,3.47,1.98,4.36,6.25,6.28,6.02,,
