"PETERSFIELD DITCHAM PARK",,,,,,,,,,,,
Grid ref,SU748176,Long,-0.936478,Lat,50.952988,,,,,,,
Station no,705,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,9.09,0.98,1.75,1.14,,
February,,,,,,,4.03,1.83,1.62,0.38,,
March,,,,,,,1.76,1.10,3.56,5.33,,
April,,,,,,,0.79,4.81,2.67,1.59,,
May,,,,,,0.61,2.85,2.39,2.33,2.36,,
June,,,,,,4.90,1.78,3.07,0.91,2.99,,
July,,,,,,0.36,0.61,2.33,2.93,3.49,,
August,,,,,,3.50,1.73,1.97,5.53,2.89,,
September,,,,,,3.17,1.31,0.59,1.95,3.67,,
October,,,,,,2.17,5.95,7.70,3.12,8.55,,
November,,,,,,4.77,5.36,2.82,1.51,0.72,,
December,,,,,,1.02,2.39,4.07,4.14,5.42,,
Total,,,,,,,37.65,33.66,32.02,38.53,,
Calc annual,0.00,0.00,0.00,0.00,0.00,20.50,37.65,33.66,32.02,38.53,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,,
