HARROW-WEALD-HILL-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ157913,Long,-0.33057429,Lat,51.608656,Elevation,284,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,1.12,2.64,2.01,0.87,1.73,2.76,2.42,0.94,1.94,0.95,2.96,3.4,0.75,1.35,2.31,2.85,1.35,3.74,1,1.81,0.81,1.97,1.56,3.27,2.7,0.76,3.68,1.57,1.55,2.56,3.93,3.37,2.73,3.17,1.34,2.6,1.62,2.96,1.74,,,
February,,,2.48,0.85,0.06,1.49,3.23,1.88,0.28,0.43,2.87,1.43,2.31,3.13,1.03,1.46,1.04,2.58,0.91,2.1,1.31,1.42,0.48,3,1.61,1.7,0.93,2.57,3.38,4.09,0.9,1.21,2.84,0.49,0.18,2.63,3.07,0.61,2.89,2.57,3.64,,,
March,,,1.8,2.18,1.94,1.45,0.64,1.98,1.72,3.39,4.08,1.18,0.68,0.92,2.24,1.92,2.9,1.59,3.3,1.34,0.98,3.21,3.01,1.03,1.68,3.55,1.99,4.46,0.94,4.86,1.77,0.78,3.48,1.34,1.44,1.69,2.63,0.76,0.51,0.27,2.4,,,
April,,,2.14,1.45,0.84,0.84,0.18,1.7,1.88,0.66,1.93,1.26,2.67,1.18,2.28,0.79,1.61,0.95,1.95,0.47,3.57,3.1,1.67,1.38,1.7,0.07,2.8,0.76,1.11,1.35,2.28,3.89,2.76,3.4,1.05,2.95,1.7,3.31,1.44,3.43,1.72,,,
May,,1.28,3.54,1.89,2.78,1.39,0.99,1.95,0.61,0.28,1.31,2.65,1.55,1.15,1.04,2.36,2.98,2.01,1,1.48,1.69,1.55,1.47,2.44,1.85,1.23,1.49,1.86,2.51,1.9,1.6,1.86,0.52,0.96,1.29,1.04,1.94,3.54,1.79,1.97,1.3,,,
June,,2.87,1.12,2.18,0.8,2.78,0.73,2.23,0.59,2.02,4.34,1.86,1.08,2.96,0.53,4.19,5.39,0.9,3.26,2.98,2.1,1.77,3.63,2.87,2.27,2.33,0.42,1.52,1.19,3.09,1.99,0.97,1.36,2.04,0.17,1.3,0.4,2.75,0.06,2.93,2.73,,,
July,,4.04,2.85,5.36,2.91,2.26,2.77,2.71,4.62,1.1,0.57,0.63,3.26,0.9,2.81,1.39,3.48,2.95,2.61,1.17,2.37,3.71,3.44,2.33,0.46,1.49,1.88,1.65,5.85,1.74,5.34,3.41,2.28,5.97,0.15,3.43,3.35,3.69,3.99,2.47,2.88,,,
August,,3.61,2.24,2.07,3.7,4.02,1.73,4.34,2.73,2.5,3.76,1.41,0.5,2.27,1.62,3.37,4.04,2.17,2.54,0.81,1.77,2.45,2.36,3,0.88,5.52,0.98,1.08,2.59,5.59,5.48,1.24,2.85,1.77,1.81,2.91,1.6,2.52,2.46,1,4.32,,,
September,,0.93,2.05,0.38,1.75,2.89,1.41,1.19,1.32,7.63,2.35,0.53,2.21,0.94,1.51,1.47,3.2,1.5,1.55,1.34,0.73,1.72,3.21,0.52,1.46,2.29,1.61,1.02,1.84,1.49,1.57,4.84,1.36,2.37,2.62,2.17,1.6,3.18,2.84,2.05,4.9,,,
October,,1.35,3.31,1.26,5.42,3.94,4.41,3.62,3.01,2.95,0.82,3,2.42,2.28,2.3,1.92,7.3,1.62,1.28,3.82,4.66,2.45,4.42,2.32,2.61,2.52,2.93,1.73,2.22,3.42,4.31,1.32,0.64,1.93,0.82,0.83,5.47,3.7,3.16,2.12,2.13,,,
November,,4.01,1.15,2.23,2.12,2.06,2.37,4.03,4.33,1.35,0.96,2.22,4.24,2.49,0.72,1.73,1.85,1.79,2.8,4.14,2.33,0.89,0.8,3.28,3.25,1.97,2.64,2.7,2.2,4.14,1.61,2.2,1.8,1.25,1.62,1.71,1.49,2.76,1.62,5.03,2.9,,,
December,,1.58,1.46,0.83,3.59,1.58,2.93,2.23,2.32,3.9,2.9,2.27,1.52,3.24,3.74,1.67,2.06,2.14,0.96,2.26,3.34,2.09,2.79,3.82,4.97,2.9,0.99,6.85,5.51,2.81,1.02,2.15,4.34,2.39,1.47,2.62,2.53,3.09,2.08,0.38,3,,,
Total,,,25.26,23.32,27.92,25.57,23.12,30.62,25.83,27.15,27.83,19.39,25.4,24.86,20.57,23.62,38.16,23.05,23.51,25.65,25.85,26.17,28.09,27.96,24.3,28.84,21.36,26.96,33.02,36.05,29.42,26.43,28.16,27.28,15.35,26.45,27.12,32.51,24.46,27.18,33.66,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Hill House, where the observer, A Crossman, lived. Altitude nearly matches but the relationships to churches and stations do not make sense",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
