"MISTERTON",,,,,,,,,,,,
Grid ref,ST458083,Long,-2.771643,Lat,50.871646,,,,,,,
Station no,2050/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.60,3.44,1.01,2.29,4.27,4.06,2.83,4.35,6.46,4.15,,
February,6.21,0.64,1.76,3.08,3.06,0.10,6.18,4.03,0.32,4.77,,
March,3.30,3.23,0.66,5.45,1.39,1.12,3.35,1.59,4.03,2.22,,
April,2.47,2.84,4.40,0.26,0.99,0.52,0.09,0.87,3.60,3.07,,
May,2.84,4.11,3.30,2.59,3.85,0.51,1.82,3.37,0.81,1.83,,
June,0.90,2.48,3.20,3.58,2.53,2.31,2.67,4.01,1.23,1.46,,
July,2.81,1.15,3.52,2.12,3.35,3.00,2.42,2.44,2.10,3.42,,
August,5.90,4.60,2.17,3.26,0.42,4.00,3.02,2.07,1.29,5.66,,
September,4.57,4.93,4.21,3.07,1.28,5.17,2.96,5.56,0.08,4.98,,
October,1.04,5.19,4.43,2.94,2.69,1.55,2.37,3.40,2.95,9.77,,
November,11.36,4.65,1.71,9.14,6.22,0.48,2.78,2.91,7.05,5.67,,
December,4.09,3.36,0.75,3.22,5.97,5.71,4.00,5.10,10.39,4.01,,
Total,49.09,40.62,31.12,41.00,36.02,28.53,34.49,39.70,40.31,51.01,,
Calc annual,49.09,40.62,31.12,41.00,36.02,28.53,34.49,39.70,40.31,51.01,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
