THE-HYDE-CRAWLEY,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ246301,Long,-0.223502,Lat,51.056733,Elevation,300,ft,,,,,,,,,,,,
Station no,RR1653,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,4.78,1.59,2.37,5.08,0.88,3.24,3.9,2.21,5.87,,,,
February,,,,,,,1.46,0.61,1.2,3.14,1.48,2.7,0.92,1.63,1.6,3.01,,,,
March,,,,,,,1.29,2.25,1.88,2.09,2.92,2.92,5.92,1.1,3.58,2.48,,,,
April,,,,,,,4.74,2.03,3.29,3.62,2.48,0.83,2.63,1.03,1.15,0.46,,,,
May,,,,,,,4.75,1.21,2.9,2.95,3.49,2.33,4.19,2.41,1.75,3.91,,,,
June,,,,,,,2.32,3.24,0.61,1.62,7.76,3.49,2.55,4.19,0.52,1.05,,,,
July,,,,,,,1.25,2.9,3.76,3.33,3.97,5.01,2.12,1.08,0.28,2.75,,,,
August,,,,,,,3.4,5.17,1.3,1.71,5.89,0.86,2.83,3.68,1.35,6.08,,,,
September,,,,,,,5.4,4.75,1.64,4.2,4.01,4.19,1.72,5.25,4.86,0.41,,,,
October,,,,,,,2.36,4.9,2.19,5.17,3.3,1.97,7.01,4.23,1.44,10.23,,,,
November,,,,,,,1.29,2.7,1.85,4.3,3.45,6.48,1.76,2.3,5.87,4.44,,,,
December,,,,,,,3.23,1.1,3.13,5.19,3.8,2.59,3.24,2.48,1.11,2.31,,,,
Total,,,,,,,,35.64,25.34,39.69,47.63,34.25,38.13,33.28,25.72,43,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"IDR 1859 Apr, Sep.",,,,,,,,,,,,,,,,,,,,
