GLENOGIL W.W.,,,,,,,,,,,
Grid ref,NO445625,Long,-2.909159,Lat,56.750803,Elevation,690,ft,,,
Station no,5605,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,6.83,3.23,4.49,2.82,7.44,,,,
February,,,4.86,10.85,2.1,7.15,6.57,,,,
March,,,3.03,2.1,1.01,1.45,1.97,,,,
April,,,2.31,4.21,2.15,3.59,2.98,,,,
May,,,0.86,2.67,5.67,5.18,2.69,,,,
June,,,1.69,1.22,2.22,0.34,3.42,,,,
July,,,3.36,2.33,6.62,2.58,2.61,,,,
August,,,2.31,5.76,3.78,3.92,2.45,,,,
September,,,3.88,3.01,5.18,2.93,4.31,,,,
October,,,1.7,3.72,4.88,3.48,6.41,,,,
November,,,1.93,3.1,3.28,1.6,7.48,,,,
December,,,2.87,5.63,5.21,2.65,0.55,,,,
Total,,,35.63,47.83,46.59,37.69,48.88,,,,
