LOCH ORDIE,,,,,,,,,,
Grid ref,NO029501,Long,-3.584488,Lat,56.632633,Elevation,980,ft,,
Station no,5554/55,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.1
February,,,,,,,,,,5.6
March,,,,,,,,,,3.5
April,,,,,,,,,3.5,5.1
May,,,,,,,,,0.8,3.05
June,,,,,,,,,1.65,2.45
July,,,,,,,,,4.25,3.25
August,,,,,,,,,1.32,3.25
September,,,,,,,,,0.9,3
October,,,,,,,,,4.25,7.65
November,,,,,,,,,6.03,3.95
December,,,,,,,,,8.5,3.3
Total,,,,,,,,,,48.2
,,,,,,,,,,
Station no,5554/55,,,,,,,,,
Midas,15200,,,,,,,,,
Hyd Stn,871122,,,,,,,,,
