BARNET-JESUS-HOSPITAL (NORMANDY AVE),,,,,,,,,,,
Grid ref,TQ245960,Long,-0.20188922,Lat,51.649019,Elevation,409,ft,,,
Station no,RR7502,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,1.5,2.99,2.19,3.45,1.83,4.1,1.51,2.63
February,,,,3.62,0.7,3.35,2.97,4.15,1.79,0.69,1.19
March,,,,2.63,1.07,0.67,0.45,2.74,1.87,0.03,1.74
April,,,,1.67,3.91,1.71,3.75,1.63,1.13,1.31,
May,,,0.72,2.07,3.83,2.36,2.63,1.17,1.73,1.88,
June,,,1.39,0.57,2.93,0.16,3.45,3.39,2.88,1.2,
July,,,3.51,3.34,4.49,3.78,2.6,2.07,1.83,2.96,
August,,,2.38,2.36,2.32,2.11,0.98,4.15,2.05,1.2,
September,,,2.26,1.64,3.42,3.25,1.31,5.4,1.1,0.49,
October,,,0.9,5.4,3.89,3.34,2.8,2.48,3.94,3.37,
November,,,1.58,1.74,2.46,1.89,5.16,2.9,2.68,6.67,
December,,,2.97,2.59,3.25,2.52,0.38,3.46,2.74,5.78,
Total,,,,29.13,35.26,27.33,29.93,35.37,27.84,27.09,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1930 Gauge moved to Prospect Road,,,,,,,,,,,
