BARNET-JESUS-HOSPITAL (ALMSHOUSES),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ253960,Long,-0.1903323,Lat,51.648841,Elevation,335,ft,,,,,,,,,,,,
Station no,903/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,2.08,1.81,1.76,1.3,4.32,4.12,3.49,,,,,,,,,,,,
February,,0.18,1.57,0.38,2.98,1.6,4.53,0.69,,,,,,,,,,,,
March,,1.39,2.7,2.19,0.49,1.11,2.88,0.41,,,,,,,,,,,,
April,,2.22,1.1,1.97,2.91,1.31,2.92,0.15,,,,,,,,,,,,
May,,3.46,1.74,0.66,1.49,0.21,2.75,1.77,,,,,,,,,,,,
June,,0.82,1.88,1.51,3.6,5,2.04,0.52,,,,,,,,,,,,
July,,2.21,1.49,0.58,0.57,4.02,0.7,1.35,,,,,,,,,,,,
August,,1.16,0.6,2.21,1.63,0.33,1.44,1.41,,,,,,,,,,,,
September,2.77,2.06,2.71,2.08,3.87,3.14,1.45,1.98,,,,,,,,,,,,
October,0.64,4.69,1.35,1.45,2.48,1.62,2.57,3.54,,,,,,,,,,,,
November,2.52,1.5,1.04,1.89,4.4,3.36,1.4,3.46,,,,,,,,,,,,
December,0.94,0.61,0.43,4.76,3.02,1.7,3.63,4.33,,,,,,,,,,,,
Total,,22.38,18.42,21.44,28.74,27.72,30.43,23.1,,,,,,,,,,,,
