HOLTON-HEATH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY943911,Long,-2.08211,Lat,50.7195,Elevation,64,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,4.07,3.75,4.57,1.51,3.8,5.06,4.91,2.18,5.65,1.04,4.27,2.4,2.76,2.6,2.67,0.91,5.45,6.5,3.88,6,3.7,3.65,4.11,7.41,2.23,1.91,3.73,,,,
February,0.4,0.33,2.57,6.77,0.59,5.34,1.87,3.1,2.46,1.13,0.91,1.87,0.05,4.48,0.07,3.61,3.18,6.22,0.8,1.87,4.36,4.66,0.2,1.22,0.46,2.03,2.78,,,,
March,2.2,1.4,2.56,1.48,1.26,0.87,0.64,3.09,2.83,0.09,1.23,1.19,1.85,3.73,2.87,0.98,3.57,3.79,0.26,1.39,2.63,3.34,2.56,0.91,0.39,0.96,1.13,,,,
April,3.07,0.6,3.97,3.72,3.34,2.55,4.2,2.15,1.66,0.78,1.85,2.24,2.39,1.65,1.7,3.88,1.74,2.39,0,1.99,1.2,1.75,2.27,0.85,1.81,0.71,2.49,,,,
May,1.33,1.55,0.59,2.17,4.93,3.21,2.19,0.88,1,2.07,2.9,3.32,3.69,1.11,0.82,0.98,0.53,5.2,1.46,1.09,1.19,2.28,3.76,2.69,0.3,2.5,4.22,,,,
June,2.28,0.73,0.9,0.43,2.2,0,2.74,2.12,1.98,1.27,0.48,3.62,2.46,0.63,1.32,4.13,3.95,0.4,0.92,2.14,0.22,1.74,0.48,0.91,2.01,2.4,3.57,,,,
July,5.53,0.27,4.43,0.78,2.8,2.97,1.5,1.97,1.4,1.13,1.59,5.07,2.92,1.84,0.11,0.37,4.72,1.88,2.05,4.33,2.9,1.83,1.52,2.08,2.74,0.69,1.13,,,,
August,1.23,2.35,3.91,1.92,2.48,2.04,0.61,3.13,2.24,1.3,3.48,3.33,,0.86,3.17,3.09,0.13,1.7,1.94,2.09,0.01,3.98,4.29,1.61,2.51,2.82,,,,,
September,1.46,0.75,1.52,2.95,3.46,3.61,0.51,6.33,2.08,0.43,3.1,1.49,3.43,1.83,2.39,3.85,2.69,3.52,2.75,1.69,1.71,0.64,2.29,2.03,1.99,3.31,,,,,
October,2.62,1.2,1.81,5.29,4.55,4.09,4.05,2.65,6.93,4.51,2.21,0.7,6.04,1.61,1.5,6.78,1.77,5.42,3.98,5.4,3.86,1,4.59,4.9,4.52,4.03,,,,,
November,1.7,2.14,2.4,1.8,4.04,3.14,10.08,2.94,3.45,9.07,5.75,4.51,2.5,0.87,2.09,9.21,3.5,1.63,6.31,6.55,8.58,2.04,1.72,1.95,6.85,0.74,,,,,
December,3.5,1.27,5.02,4.06,5.68,3.93,0.61,4.7,3.34,7.56,4.48,1.09,1.37,1.07,9.2,5.48,3.96,4.19,5.22,2.09,2.85,3.2,5.39,3.41,2.78,5.06,,,,,
Total,29.39,16.34,34.25,32.88,39.13,36.81,33.91,35.24,35.02,30.38,32.25,30.83,,22.28,27.91,43.27,35.19,42.84,29.57,36.63,33.21,30.11,33.18,29.97,28.59,27.16,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLTON HEATH R.N. CORDITE FAC M.W.R.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 Aug Interpolated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 Oct 16 Inspection OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 June 22 Inspection OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Aug 1 Station ceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
