"MORTON, THORNHILL, DUMFRIES",,,,,,,,,,,,,,,,,,,,
Grid ref,NX871953,Long,-3.7763,Lat,55.2397,Elevation,244,ft,,,,,,,,,,,,
Station no,RR1660,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,0.8,3.4,3.3,3.9,6,6.9,,,,,,,,,
February,,,,,,0.3,3.7,2.8,1,5.4,3.8,,,,,,,,,
March,,,,,,3.3,1.5,4.2,1.2,5.9,4.1,,,,,,,,,
April,,,,,,1.5,2.6,2.8,3.8,5.3,1,,,,,,,,,
May,,,,,,2.05,2.9,2.7,4.6,0.6,4,,,,,,,,,
June,,,,,,2.95,4,3.3,3.9,2.7,,,,,,,,,,
July,,,,,2.8,3.8,2.2,2.4,4,3,,,,,,,,,,
August,,,,,4.4,4.5,4.4,2.5,4,3.5,,,,,,,,,,
September,,,,,1.7,0.6,3.1,3.6,4,3.6,,,,,,,,,,
October,,,,,4.2,7,3.1,3.3,6.3,3.9,,,,,,,,,,
November,,,,,3,2.3,0.9,2.1,1.5,4.3,,,,,,,,,,
December,,,,,5.8,3.2,5.7,4.9,5.7,4,,,,,,,,,,
Total,,,,,,32.3,37.5,37.9,43.9,48.2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR taken at at Holmhill Farm, Morton, Thornhill - home of observer J Russell",,,,,,,,,,,,,,,,,,,,
