"KENDAL SCHOOL",,,,,,,,,,,,
Grid ref,SD519915,Long,-2.740910,Lat,54.316808,,,,,,,
Station no,3714/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.66,3.93,3.38,4.68,4.51,4.58,7.82,5.50,3.21,7.44,,
February,4.92,1.10,3.02,3.65,1.78,0.73,5.01,6.02,1.80,3.32,,
March,5.08,3.41,1.27,3.08,1.40,1.79,4.43,1.37,3.21,1.06,,
April,2.75,3.76,3.20,2.14,3.18,0.95,1.05,1.44,4.48,3.40,,
May,0.95,2.61,2.13,3.18,3.40,3.40,3.27,5.73,0.99,2.68,,
June,1.45,4.38,3.97,5.89,4.51,1.97,2.20,3.39,4.95,2.49,,
July,3.25,2.39,6.51,4.68,1.82,4.47,3.84,3.40,4.66,5.46,,
August,4.59,5.70,5.38,6.18,1.97,8.76,4.75,5.55,0.81,2.79,,
September,5.78,3.91,7.79,10.42,3.18,3.24,5.04,7.85,1.38,4.28,,
October,0.82,2.25,3.20,11.69,2.79,4.65,7.34,6.37,5.43,2.94,,
November,8.37,2.43,8.35,8.99,2.00,1.65,1.47,1.46,5.89,9.95,,
December,10.52,5.18,3.90,8.57,7.12,6.23,5.24,4.60,10.09,7.14,,
Total,54.14,41.05,52.10,73.15,37.66,42.42,51.46,52.68,-999.00,52.95,,
Calc annual,54.14,41.05,52.10,73.15,37.66,42.42,51.46,52.68,46.90,52.95,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1045.90,0.00,,
