ESKDALEMUIR (CAULD LAW GRAIN),,,,,,,,,,,,
Grid ref,NT188040,Long,-3.281233,Lat,55.323336,,,,,,,
Station no,5041/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.59,7.00,3.60,6.18,,,,,,,,
February,6.28,1.80,2.48,5.39,,,,,,,,
March,4.68,5.51,1.09,5.56,,,,,,,,
April,5.80,4.66,4.83,1.89,,,,,,,,
May,2.24,2.90,3.75,6.76,,,,,,,,
June,3.94,6.96,2.60,7.88,,,,,,,,
July,6.21,4.61,12.80,7.14,,,,,,,,
August,10.11,6.65,5.82,6.78,,,,,,,,
September,9.72,2.83,7.20,10.17,,,,,,,,
October,0.82,6.16,4.68,,,,,,,,,
November,12.21,4.47,9.58,-999.00,,,,,,,,
December,10.00,6.01,5.63,-999.00,,,,,,,,
Total,79.60,59.56,64.06,,,,,,,,,
Calc annual,79.60,59.56,64.06,57.75,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
