OSPRINGE LORENDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ993591,Long,0.8583,Lat,51.2967,Elevation,180,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,
January,0.22,1.27,1.25,1.82,2.3,2.62,4.59,1.82,0.9,0.7,2.36,2.74,0.43,2.36,3.32,1.83,0.88,2.26,0.47,2.43,3.68,0.68,0.86,2.3,3.75,0.9,2.96,0.8,1.44,0.73,2.69,1.4,2.41,3.99,0.53,2.99,0.91,2.03,2.82,4.09,3.23,2.07,,1.46,,1.51,,,,0.98,2.7,1.98,2.19,1.65,2.49,1.52,4.37,5.41,3.16,5.17,1.98,2.49,2.12,4.46,1.33,2.02,1.78,2.6,3.28,1.73,1.86,3.13,2.03,0.89,1.54,2.92,3.92,1.64,3.16,2.36,2.67,,,,,,,,,,,,,,,,,,,,
February,2.93,1.47,1.18,3.92,1.68,3.23,0.69,0.52,1.93,2.27,0.72,0.14,2.07,4.34,1.65,0.5,0.36,2.14,1.28,2.18,5.4,1.58,1.16,1.29,2.93,0.95,2.06,1.56,1.21,0.95,3.48,1.09,1.83,0.61,3.53,4.98,3.89,0.27,0.71,2.4,0.54,1.3,,3.75,,3.9,,,,0.83,1.27,2.22,0.37,1.34,0.13,3.81,2.21,3.92,0.86,1.34,1.54,2.35,0.51,1.46,1.32,1.62,2.2,1.62,1.54,1.11,4.24,6.19,0.88,1.28,1.73,1.96,1,3.73,2.15,0.05,2.23,,,,,,,,,,,,,,,,,,,,
March,0.67,1.58,1.32,1.4,1.47,1.28,1.07,2.06,2.67,1.84,1.9,2.65,2.1,0.4,1.45,0.86,2.86,3.91,2.14,0.88,1.33,2.36,1.4,2.22,1.75,2.97,1.42,0.62,2.61,2.96,1.7,2.38,4.01,2.46,5.48,0.91,4.51,1.7,1.06,3.71,1.26,1.54,,1.95,,1.08,,,,0.05,1.2,0.34,1.17,2.51,2.84,0.44,0.63,4.44,0.53,2.02,3.67,2.07,2.44,0.35,0.23,1.65,2.1,3.98,0.82,0.73,0.64,3.11,2.84,0.3,2.13,1.52,0.42,0.92,1.82,2.22,1.91,,,,,,,,,,,,,,,,,,,,
April,1.08,0.53,3,2.25,0.97,0.91,2.04,2.08,1.38,1.9,2.59,0.4,1.43,0.01,2.19,1.31,0.83,1.56,1.04,3.06,1.12,2.03,0.48,1.78,1.41,2.41,1.3,2.47,2.27,1.78,1.9,2.1,0.07,2.66,1.49,1.43,1.5,1.96,2,4.25,2.89,1.52,,1.61,,2.25,,,,1.26,1.05,3.35,1.63,0.72,2.81,2.64,1.32,2.2,0.42,2.09,1.44,1.77,1.41,1.36,1.28,1.15,1.94,1.26,1.78,1.42,1.59,1.86,0.87,0.53,0.22,0.2,1,0.29,1.62,2.96,0.71,,,,,,,,,,,,,,,,,,,,
May,0.19,1.29,1.31,2.63,0.86,3.27,2.17,1.96,0.49,2.16,1.42,2.82,0.45,0.88,2.24,0.19,0.15,1.07,4.11,1.86,1.13,0.67,2.02,3.47,1.87,1.24,2.08,1.92,1.32,1.54,3.46,0.64,0.9,0.87,0.88,4.18,1.86,1.61,1.63,0.15,1.04,1.13,,2.87,,1.92,,,,1.01,4.03,2.15,3.04,2.16,0.92,1.98,0.29,3.14,2.34,2.17,0.35,1.67,3.58,3.35,0.46,2.29,2.29,0.72,1.38,1.54,1.54,2.14,0.84,2.16,1.67,4.2,0.6,1.22,2.07,1,2.01,,,,,,,,,,,,,,,,,,,,
June,3.07,2.35,3.31,1.89,1.94,0.84,0.3,1.25,2.35,2.11,1.37,2.27,3.22,0.54,2.5,0.35,3.98,2.78,3.15,1.14,3.05,0.86,2.18,4.21,1.41,6.52,2.75,1.59,0.69,3.27,3.75,2.48,2.71,1.13,1.17,1.33,1.88,1.62,0.79,0.93,1.11,0.24,,,,0.6,,,,1.39,0.88,0.61,0.3,1.54,1.16,1.93,3.14,2.03,0.64,1.63,1.41,1.58,0.39,1.17,1.37,0.47,1.32,1.98,2.44,0.58,1.2,1.1,1.15,5.62,3.1,2.15,2.45,1.53,4.56,1.32,1.24,,,,,,,,,,,,,,,,,,,,
July,2.5,1.17,2.99,2.39,1.37,0.17,1.97,0.75,4.21,1.81,3.91,3.11,2.19,2.85,4.73,3.16,0.97,0.64,0.65,1.2,1.03,1.6,1.34,4.8,1.72,0.66,0.97,1.53,2.56,2.73,2.1,0.31,1.04,2.08,3.4,2.42,1.77,5,2.69,2.53,2.8,0.44,2.5,,,2.85,,,,0.88,2.72,2.38,2.83,1.3,0.96,0.63,3.77,0.68,1.31,2.06,3.38,2.53,2.88,2.71,2.92,2.59,1.31,1.74,1.43,0.47,2.65,1.31,0.73,2.68,1.93,1.7,2.51,3.24,1.65,2.61,2.85,,,,,,,,,,,,,,,,,,,,
August,1.58,3.2,1.56,0.5,0.73,0.78,1.73,2.5,1.49,1.96,3.76,3.47,4.14,0.83,2.01,1.2,2.53,2.31,1.66,0.79,2.3,1.03,4.37,3.37,2.34,1.96,0.35,1.57,3.43,2.52,2.08,1.51,5.16,1.29,0.5,1.91,1.83,6.92,0.66,2.61,1.84,1.23,2.06,,,1.21,,,,1.95,3,2.37,0.48,0.67,1.65,2.96,1.34,0.83,2.62,1.84,0.33,3.42,2.09,1.34,2.46,2.78,4.2,0.02,2.23,0.68,3.41,3.15,2.22,1.62,3.12,2.97,3.86,2.13,3.45,1.39,4.15,,,,,,,,,,,,,,,,,,,,
September,3.49,2.48,3.73,3.01,3.96,4.37,1.62,2.81,0.8,2.38,1.22,0.65,2.16,2.62,2.25,0.46,4.3,2.22,0.3,2.89,0.99,1.09,1.66,2.13,1.12,1.88,1.82,0.29,1.62,3.37,0.83,1.64,3.59,1.65,0.64,3.54,0.87,0.63,4.58,1.29,3.63,1.1,2.9,,,2.12,,,,0.64,4.48,2.07,1.75,3.08,1.99,3.43,1.89,2.73,2.16,0.66,1.34,0.38,2.77,2.48,3.29,0.82,2.38,1.03,2.18,1.54,1.88,3.5,4.13,3.97,1.24,1.53,1.95,2.36,2.59,0.23,2.27,,,,,,,,,,,,,,,,,,,,
October,7.56,3.84,7.1,2.21,1.77,4.07,2.83,2.05,1.24,5.29,0.92,5.34,7.23,2.91,4.43,3.64,5.35,0.33,1.86,2.82,1.6,2.26,2.21,4.58,1.75,1.91,3.7,4.68,1.58,8.18,1.46,5.65,3.23,3.82,2.41,1.66,3.38,3.44,2.61,1.62,1.05,1.02,1.96,,,3.43,,,,3.29,1.45,0.45,6.41,1.73,2.09,2.94,2.81,3.84,3.07,8.66,4.28,1.77,3.78,2.62,4.76,1.74,1.25,0.44,1.43,6.64,0.32,1.16,1.85,2.38,2.09,5.32,1.32,1.03,3.88,2.65,6.76,,,,,,,,,,,,,,,,,,,,
