FAVERSHAM BROGDALE,,,,,,,,,,,,
Grid ref,TQ993599,Long,0.8577,Lat,51.303,Elevation,150,ft,,,,
Station no,313,,,,,,,,,,,
,,,,,,,,,,,,
,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877
January,3.78,3.01,3.77,3.01,1.63,2.84,3.92,3,1.42,2.54,0.78,5.71
February,3.6,1.47,1.16,2.91,0.81,1.47,0.72,1.9,1.19,0.61,2.13,1.24
March,2.28,2.58,1.09,2.14,2.28,1.37,2.58,1.54,0.4,0.61,2.18,2.55
April,2.24,1.15,2.09,1.13,0.47,2.18,1.38,0.82,1.87,1.3,2.26,1.93
May,1.77,3.03,0.94,3.91,1.24,0.89,3.6,1.18,0.75,0.97,1.74,2.13
June,2.37,1.18,0.31,0.65,0.49,2.79,1.24,2.26,1.67,2.18,1.25,0.65
July,2.29,3.92,0.54,0.31,1.21,2.37,3.66,1.61,1.1,4.88,0.88,1.97
August,3.7,1.01,2.45,2.41,1.56,1.6,1.87,1.44,1.11,1.7,1.71,2.71
September,3.8,1.41,2.68,3.24,3.14,3.99,1.34,2.1,2.72,1.33,2.75,1.22
October,0.94,1.64,2.01,2.39,3.37,0.61,3.38,3.55,2.77,3.86,1.15,2.11
November,1.75,1.22,1.85,2.15,1.17,0.85,5.38,1.38,2.03,4.76,2.43,5.45
December,1.3,1.24,5.21,3.9,3.23,1.44,5.11,0.38,1.75,0.98,5.23,1.77
Total,29.82,22.86,24.1,28.15,20.6,22.4,34.18,21.16,18.78,25.72,24.49,29.44
,,,,,,,,,,,,
Exact location uncertain,,,,,,,,,,,,
