BURY ST EDMUNDS CULFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL832702,Long,0.685859,Lat,52.299829,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,0.68,2.38,0.79,2.1,2.36,0.83,2.77,2.48,2.73,2.69,2.08,0.89,1.08,2.83,1.91,1.24,2.34,1.8,2.95,1.81,1.57,0.16,0.93,1.63,2,1.84,2.82,2.71,1.76,0.86,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,1.04,1.23,2.51,0.41,0.52,1.36,2.46,3.59,1.82,1.65,2.49,0.78,2.07,0.9,1.88,0.75,1.21,2.59,3.05,1.23,3.23,1.66,2.83,1.56,3.35,0.55,1.98,0.24,0.59,2.1,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,1.3,2.93,1.77,2.4,0.83,3.09,2.16,1.3,1.47,2.05,1.87,1.87,1.47,2.5,1.66,1.07,0.42,2.1,2.62,1.1,0.84,0.98,1.48,1.93,1.88,0.95,1.1,1.77,1.9,3.07,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,2.49,0.93,0.77,1.41,0.72,0.38,0.28,1.85,3.17,1.68,1.23,0.78,3.7,1.86,1.31,0.69,1.05,2.27,2.29,1.23,2.68,2.37,1.61,3.55,1.34,0.96,1.67,1.15,1.19,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,3.32,3.93,1,2.44,0.99,2.66,1.96,1.66,2.65,0.56,3.23,0.36,1.63,2.53,2.06,0.49,2.15,0.7,1.54,4.73,2.86,0.43,1.09,1.67,1.18,1.03,3.17,2.75,1.95,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,3.4,4.69,2.62,3.25,2.69,1.04,1.2,3.42,0.73,1.12,1.71,0.98,3.3,2.01,2.5,1.64,2.83,2.75,1.53,1.07,4.06,2.52,1.5,2.71,2.08,1.33,0.93,0.77,0.14,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,3.37,1.81,2.64,2.2,0.76,0.49,4.01,2.25,4.49,0.22,0.46,2,2.93,6.21,2.23,0.76,5.29,1.39,3.11,0.69,5.09,4.59,2.68,1.88,4.15,2.32,1.26,3.55,1,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,3.17,1.72,5.4,0.52,2.27,1.91,0.59,3.94,3.39,1.49,1.98,2.25,1.77,0.29,2.49,2.19,1.18,0.88,1.71,2.76,4.28,4.12,1.27,4.82,2.21,1.47,1.23,2.29,1.5,1.81,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,0.79,2.29,2.67,1.16,1.41,2.99,1.37,0.04,3.01,2.63,1.74,3.58,1.58,4.4,2.35,2.72,3.14,2.67,4.45,1.4,1.4,3.71,4.52,3.18,2.44,4.24,2.49,4.27,1.15,2.4,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.32,3.34,1.59,1.03,2.62,2.67,1.16,7.22,0.54,2.48,2.62,2.78,3.03,1.4,3.12,3.57,2.08,3.24,0.84,1.34,1.92,1.11,4.45,2.69,5.31,2.83,2.33,4.76,2.76,2.59,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,1.41,1.56,2.38,3.47,1.33,2.75,2.84,1.59,2.66,0.95,1.37,2.48,0.89,1.52,4.01,2,2.62,5.26,2.59,2.77,5.16,1.47,2.05,1.98,2.7,3.24,1.51,2.96,2.7,2.38,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,1.34,2.66,3.26,1.23,1.94,1.2,0.63,0.68,2.58,2.66,4.04,4.84,4.01,0.99,3.83,0.69,2.17,1.84,3.97,2.22,1.31,0.52,2.92,3.36,3.49,2.4,2.64,0.95,3.16,1.29,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,27.17,33.2,19.51,23.78,20.39,16.44,28.31,28.73,27.27,21.72,29,18.94,24.78,34.64,24.72,17.83,29.18,27.16,27.58,25.93,31.26,27.92,28.15,31.08,30.16,19.18,28.16,24.21,19,23.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
