LEICESTER-GROBY-ROAD-THE-GYNSILLS,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK547069,Long,-1.1927698,Lat,52.657074,Elevation,244,ft,,,,,,,,,,,,,
Station no,2505,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,1.71,1.95,2.55,2.7,4.8,1.76,3.07,1.67,1.49,2.04,2.26,1.03,,,,,
February,,,,,0.76,2.7,3.92,2.09,2.2,0.58,0.71,2.82,0.43,3.04,0.45,2.33,,,,,
March,,,,,0.85,1.1,0.42,1.44,1.45,0.12,2.37,0.14,1.46,3.01,2.4,0.99,,,,,
April,,,,,2.39,1.68,1.46,1.77,0.87,1.33,3.52,3.81,3.09,1.52,4.01,3.61,,,,,
May,,,,,3.91,3.73,3.8,1.19,0.91,2.34,3.11,3.46,5.37,2.15,0.89,0.82,,,,,
June,,,,,3.1,0,1.72,4.79,4.55,1.72,1.7,2.31,1.16,2.04,0.84,3.26,,,,,
July,,,,,3.18,1.3,2.4,2.07,1.25,2.39,4.44,3.7,3.55,1.89,0.72,0.4,,,,,
August,,,,,2.55,2.52,3.17,3.72,2.39,2.01,2.84,6.52,2.12,0.79,2.61,1.56,,,,,
September,,,,,2.95,2.88,1.55,4.87,0.78,0.83,4.08,2.72,2.54,1.83,1.78,1.45,,,,,
October,,,,,4.85,3.44,2.75,1.99,4.2,3.61,2.38,0.42,3.86,3.02,1.85,,,,,,
November,,,,,2.3,1.4,3.6,3.24,3.2,5.53,3.66,2.86,2.17,1.77,2.38,,,,,,
December,,,,,2.3,2.75,0.85,2.71,2.04,4.67,2.23,1.02,0.83,0.47,4.67,,,,,,
Total,,,,,30.85,25.45,28.19,32.58,28.64,26.89,34.11,31.45,28.07,23.57,24.86,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"1924 total on sheet is 31.1, but no obvious errors. Total edited to match monthly sum.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1925 dash=zero,,,,,,,,,,,,,,,,,,,,,
