PURLEY-RIDDLESDOWN-ROAD-(NO-1),,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ320614,Long,-0.10577,Lat,51.33638,Elevation,365,ft,,,,,,,,,,,,,,,
Station no,RR4791,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922
January,,,,,,1.04,5.42,1.13,1.94,1.16,2.61,1.41,3.05,4.14,0.83,4.31,1.42,1.42,3.32,4.23,3.29,2.26,3.48
February,,,,,,0.96,2.62,1.67,1.24,0.74,4.25,1.46,2.15,0.94,4.91,5.61,5.26,0.87,1.31,2.56,0.7,0.2,2.79
March,,,,,,3.44,1.25,0.86,3.07,3.59,1.44,2.1,4.08,3.17,4.86,0.71,4.86,1.57,1.18,4.04,1.97,1.74,
April,,,,,,1.81,0.79,3.46,2.51,2.06,1.85,2.28,0.06,3.12,0.98,1.61,1.5,2.64,4.16,3.56,3.35,1.26,
May,,,,,,1.08,1.64,2.06,2.39,1.32,2,1.43,1.32,1.46,1.51,3.17,2.97,1.82,2.23,0.14,0.66,1.56,
June,,,,,,5.74,2.97,2.11,1.87,2.92,2.79,2.33,3.17,0.31,1.23,0.84,3.16,1.8,0.99,1.2,1.74,0.28,
July,,,,,,1.93,0.73,1.04,3.41,3.45,2.66,0.71,2.09,2.29,2.03,3.85,1.3,5.01,6.67,2.01,5.07,0.14,
August,,,,,,2.77,1.47,2.18,4.1,2.31,3.69,0.79,6.04,2.02,1.91,2.38,3.51,5.79,1.05,2.74,1.48,1.26,
September,,,,,,1.94,1.76,0.63,1.48,3.25,1.11,1.11,3.67,1.99,0.83,2.06,1.63,2.76,5.43,1.54,3.57,1.34,
October,,,,,,1.39,4.13,3.87,2.51,4.92,2.88,4.15,2.84,4.38,1.74,2.36,4.7,4.14,2,0.95,1.29,0.84,
November,,,,,,4.78,5.42,2.71,0.81,1.12,3.49,5.1,2.46,2.89,4.35,2.83,6.02,1.64,2.7,1.66,1.39,1.82,
December,,,,,,0.66,2.17,3.38,2.49,3.88,4.68,7.15,3.49,1.33,9.06,6.05,3.25,2.14,2.62,4.66,2.36,1.41,
Total,,,,,,27.54,30.37,25.1,27.82,30.72,33.45,30.02,34.42,28.04,34.24,35.78,39.58,31.6,33.66,29.29,26.87,14.11,
,,,,,,,,,,,,,,,,,,,,,,,
Asgarth Riddlesdown Rd ,,,,,,,,,,,,,,,,,,,,,,,
House not found but distances and elevation locate it around here,,,,,,,,,,,,,,,,,,,,,,,
Gauge read at 8am,,,,,,,,,,,,,,,,,,,,,,,
1922 Mar 22 Gauge moved 0.5 miles SW to Downs Court Rd,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Notes on the sheets are not clear but suggest the 1900 sheets might relate to the other gauge,,,,,,,,,,,,,,,,,,,,,,,
The difference between the two gauges are generally very small,,,,,,,,,,,,,,,,,,,,,,,
