PURLEY-RIDDLESDOWN-ROAD-(NO-2-GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ320614,Long,-0.10577,Lat,51.33638,Elevation,365,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,1.15,2,1.19,2.61,1.44,3.07,4.15,0.82,4.32,1.42,1.4,3.28,4.07,3.27,,,,,,,,,,
February,,,,,,,,1.68,1.26,0.73,4.33,1.45,2.1,0.93,4.88,5.56,5.26,0.88,1.29,2.49,0.7,,,,,,,,,,
March,,,,,,,,0.88,3.13,3.62,1.46,2.04,4,3.15,4.81,0.67,4.81,1.55,1.17,4.02,1.93,,,,,,,,,,
April,,,,,,,0.77,3.48,2.53,2.08,1.9,2.28,0.06,3.11,0.98,1.64,1.45,2.64,4.11,3.49,3.31,,,,,,,,,,
May,,,,,,,1.62,2.09,2.44,1.33,2.08,1.39,1.28,1.45,1.5,3.18,2.9,1.78,2.2,0.14,0.63,,,,,,,,,,
June,,,,,,,2.97,2.1,1.86,3,2.75,2.3,3.12,0.31,1.19,0.84,3.14,1.8,0.96,1.22,1.7,,,,,,,,,,
July,,,,,,,0.74,1.05,3.47,3.46,2.67,0.73,2.06,2.26,1.99,3.85,1.28,4.98,6.52,2.01,5.01,,,,,,,,,,
August,,,,,,,1.49,2.19,4.14,2.3,3.75,0.78,5.93,1.99,1.89,2.34,3.49,5.79,1.03,2.7,1.49,,,,,,,,,,
September,,,,,,,1.78,0.64,1.47,3.31,1.15,1.09,3.65,1.94,0.81,2.03,1.62,2.7,5.37,1.54,3.54,,,,,,,,,,
October,,,,,,,4.21,3.86,2.51,4.91,2.92,4.1,2.82,4.35,1.72,2.37,4.57,3.99,1.95,0.92,1.27,,,,,,,,,,
November,,,,,,,5.39,2.76,0.84,1.12,3.51,5.04,2.46,2.84,4.33,2.82,6,1.62,2.67,1.63,1.37,,,,,,,,,,
December,,,,,,,2.19,3.42,2.53,3.87,4.74,7.06,3.49,1.31,9.05,5.95,3.21,2.13,2.57,4.55,2.33,,,,,,,,,,
Total,,,,,,,,25.3,28.18,30.92,33.87,29.7,34.04,27.79,33.97,35.57,39.15,31.26,33.12,28.78,26.55,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asgarth Riddlesown Rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House not found but distances and elevation locate it around here,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is apparently a shallow funnel gauge probably in use before 1850 at York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes on the sheets are not clear but suggest the 1900 sheets might relate to the other gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The difference between the two gauges are generally very small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
