"PURLEY RIDDLESDOWN ROAD NO2",,,,,,,,,,,,
Grid ref,TQ321621,Long,-0.104782,Lat,51.342643,,,,,,,
Station no,RR4791,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.15,2.00,1.19,,
February,,,,,,,,1.68,1.26,0.73,,
March,,,,,,,,0.88,3.13,3.62,,
April,,,,,,,0.77,3.48,2.53,2.08,,
May,,,,,,,1.62,2.09,2.44,1.33,,
June,,,,,,,2.97,2.10,1.86,3.00,,
July,,,,,,,0.74,1.05,3.47,3.46,,
August,,,,,,,1.49,2.19,4.14,2.30,,
September,,,,,,,1.78,0.64,1.47,3.31,,
October,,,,,,,4.21,3.86,2.51,4.91,,
November,,,,,,,5.39,2.76,0.84,1.12,,
December,,,,,,,2.19,3.42,2.53,3.87,,
Total,,,,,,,,25.30,28.18,30.92,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,21.16,25.30,28.18,30.92,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
