PURLEY-RIDDLESDOWN-ROAD-(DOWNS-COURT-RD),,,,,,,,,
Grid ref,TQ319610,Long,-0.10803,Lat,51.33305,Elevation,350,ft,
Station no,RR4791,,,,,,,,
,,,,,,,,,
,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,1.87,2.52,2.48,3.87,2.5,4.05,1.36,
February,,4.96,0.74,4.83,2.7,5.06,1.82,0.72,
March,,2.29,1.11,0.67,0.33,2.83,2.97,0.06,
April,3.37,2.22,4.39,3.24,5.07,2,2.09,1.06,
May,1.16,3.19,3.3,2.14,1.44,1.09,2.12,2.09,
June,1.43,0.5,2.33,0.17,3.98,3.4,2.59,1.19,
July,3.36,2.67,3.67,3.89,2.59,2.67,1.95,2.63,
August,2.64,2.63,3.55,2.55,2.08,4.19,2.08,2.1,
September,2.11,1.52,3.61,2.86,1.46,5.4,0.79,0.11,
October,1.29,6.45,3.76,3.56,3.05,1.73,6.15,,
November,2.13,2.02,3.79,3.31,6.57,2.95,2.74,,
December,4.57,2.96,4.25,3.05,0.5,5.48,3.3,,
Total,,33.28,37.02,32.75,33.64,39.3,32.65,,
,,,,,,,,,
41 Downs Court Rd,,,,,,,,,
Gauge read at 8am,,,,,,,,,
1922 Mar 22 Gauge moved 0.5 miles SW to Downs Court Rd,,,,,,,,,
1922 June 24 Inspection Gauge on hillside Rather unusual but probably capable of giving accurate record,,,,,,,,,
1929 Oct Nov Dec estimated as gauge removed to Street Somerset,,,,,,,,,
