DALRYMPLE (KNOCKJARDEN W.W.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS354151,Long,-4.600991,Lat,55.402133,Elevation,287,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5261/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,5.74,3.67,4.63,1.93,3.38,5.94,6.82,2.71,2.36,1.08,5.01,4.14,5.43,3.73,4.96,3.17,6.53,5.97,3.63,4,6.54,3.21,4.29,3.02,2.92,4.53,3.63,1.25,4.18
February,,0.01,3.41,0.6,6.02,1.24,5.68,1.79,4.93,1.31,1.75,1.48,6.58,2.63,5.95,3.2,0.06,3.14,4.72,3.41,3.07,2.11,1.47,3.16,1.72,0.85,2.31,3.35,2.08,3.61
March,,2.42,2.87,2.6,1.98,1.67,1.06,2.98,3.72,5.44,2.45,2.2,2.34,0.6,2.74,2.21,2.62,3.99,2.48,3.39,3.38,1.38,0.78,2.32,1.19,1.79,3.61,0.93,1.95,1.79
April,,1.92,2.12,2.54,2.79,0.65,1.72,0.57,2.4,2.23,1.81,1.56,3.73,3.12,1.41,1.5,5.15,2.53,4.98,3.78,2.34,1.94,1.68,1.33,2.43,1.23,2.27,1.5,1.8,2.61
May,,3.1,1.99,2.71,0.75,3.55,1.2,2.82,0.71,1.64,3.21,1.81,3.07,2.88,3.36,0.64,3.88,0.91,1.56,1.98,1.83,1.58,1.79,1.77,3.13,2.08,1.37,3.05,1.78,1.65
June,6.08,1.83,1.74,2.42,2.57,2.28,2.85,4.74,1.75,1.37,1.26,2.03,4.25,3.58,3.86,2.35,3.16,4.86,0.88,2.6,1.49,3.03,0.87,4.1,2.81,2.31,2.25,3.35,3.14,2.36
July,6.08,4.57,2.61,2.79,1.63,6.36,4.86,4.87,4.59,5.38,3.86,3.21,1.74,2.31,2.68,3.98,3.21,3.06,1.72,4.59,2.86,3.27,5.78,4.9,1.72,5.11,3.89,4.96,5.31,2.89
August,1.19,1.52,3.01,3.94,1.96,3.98,3.11,2.45,1.76,2.75,7.17,4.08,4.31,3.17,2.15,2.06,0.35,5,4.17,4.27,4.48,5.08,3.36,4.14,1.83,5.31,4.39,5.29,0.84,3.34
September,1.12,5.28,0.5,4.77,4.95,4.29,1.84,4.25,1.98,7.28,1.52,4.98,2.27,4.94,5.4,6.09,4.37,5.45,1.32,9.05,2.61,3.1,5.12,6.02,4.06,3.37,3.6,3.98,2.18,2.93
October,3.38,5.4,2.96,7.36,8.95,5.71,3.32,8.97,1.44,4.49,4.47,5.74,7.02,4.39,3.89,0.59,1.86,6.02,4.7,4.23,1.45,3.88,3.11,9.19,2.46,3.45,4.68,3.16,6.07,1.59
November,6.46,3.73,1.61,0.96,4.78,4.48,0.38,5.67,8.36,4.54,2.27,1.08,3.76,6.05,0.37,5.78,7.19,3.36,5.77,3.72,5.83,2.58,6.78,5.7,1.75,2.06,2.13,2.04,4.12,6.03
December,4.05,7.4,1.48,4.99,2.46,5.32,1.9,2.5,1.84,6.08,2.63,7.27,2.87,5.49,2.53,3.65,3.84,4.63,8.82,1.66,7.1,4.1,3.91,5.81,5.4,5.32,4.18,3.83,5.21,4.69
Total,,42.92,27.97,40.31,40.77,42.91,33.86,48.43,36.19,44.87,33.48,40.45,46.08,44.59,38.07,37.01,38.86,49.48,47.09,46.31,40.44,38.59,37.86,52.73,31.52,35.8,39.21,39.07,35.73,37.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Est Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5261/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,642991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
