ALSTON (SAMUEL KINGS SCHOOL),,,,,,,,,,,,
Grid ref,NY718464,Long,-2.440302,Lat,54.811660,,,,,,,
Station no,3658/9/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.69,,,,
February,,,,,,,,6.00,,,,
March,,,,,,,,1.95,,,,
April,,,,,,,,1.67,,,,
May,,,,,,,,4.62,,,,
June,,,,,,,,2.22,,,,
July,,,,,,,,,,,,
August,,,,,,,,,,,,
September,,,,,,,,4.29,,,,
October,,,,,,,4.51,,,,,
November,,,,,,,2.09,,,,,
December,,,,,,,5.60,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,12.20,24.44,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
