DALTON ON TEES,,,,,,,,,,,,,,,
Grid ref,NZ297080,Long,-1.543,Lat,54.467,Elevation,170,ft,,,,,,,
Station no,RR4604,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924
January,2.23,1.27,2.47,3.73,1.57,2.13,0.74,3.21,2.20,2.64,3.13,3.56,2.91,0.74,1.64
February,2.21,0.85,1.56,0.87,1.09,2.48,3.18,0.68,1.88,1.46,0.85,0.11,1.83,3.64,0.77
March,0.46,1.88,2.26,2.75,1.60,1.62,3.45,1.91,0.98,2.79,2.24,0.77,1.46,1.42,1.31
April,1.86,0.94,0.00,3.31,0.45,0.68,0.92,1.71,1.35,1.68,3.58,1.03,2.25,1.52,1.69
May,2.35,1.53,2.27,1.87,1.74,1.44,3.15,1.15,2.11,1.05,3.64,1.19,1.70,1.88,5.38
June,1.69,2.80,5.89,0.68,3.71,0.26,2.16,1.69,0.33,0.68,0.76,1.52,1.49,0.72,2.39
July,3.73,0.43,4.12,0.68,2.77,3.33,3.28,0.77,3.41,1.80,5.53,1.62,3.96,2.12,2.96
August,2.82,2.75,4.91,1.53,1.35,3.13,1.69,4.83,2.34,2.23,1.20,3.85,1.68,2.84,2.10
September,0.24,2.06,1.67,2.64,1.81,1.34,1.68,0.52,5.01,0.66,1.18,0.58,2.51,1.80,1.80
October,2.05,2.41,2.13,2.06,1.81,1.03,2.62,2.19,1.56,3.86,1.46,0.91,1.25,2.25,3.14
November,2.48,3.84,1.76,1.45,2.72,1.87,1.90,0.86,1.07,3.60,0.82,2.29,0.59,3.49,1.25
December,2.24,4.08,1.28,1.49,3.83,5.69,1.61,1.91,3.14,2.42,2.33,1.66,3.69,2.44,3.07
Total,24.36,24.84,30.32,23.06,24.45,25.00,26.38,21.43,25.38,24.87,26.72,19.09,25.32,24.86,27.50
,,,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/061,,,,,,,,,,,,,,,
TYRain_1920-1930_24_pt1/039,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# Specific location not determined. Grid reference is central part of Dalton on Tees village.,,,,,,,,,,,,,,,
