"SHREWSBURY HIGHFIELD",,,,,,,,,,,,
Grid ref,SJ511119,Long,-2.725108,Lat,52.702551,,,,,,,
Station no,RR1930,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.23,1.70,0.99,2.04,2.21,0.56,3.17,1.06,0.91,1.32,,
February,3.43,1.18,0.90,1.55,3.29,0.75,1.45,0.95,1.34,0.84,,
March,0.75,2.45,1.16,3.65,1.37,3.15,1.13,0.78,2.88,2.04,,
April,1.04,1.95,2.10,1.03,1.07,1.48,0.86,1.54,2.47,1.99,,
May,1.97,0.79,2.56,2.61,2.16,0.91,1.64,2.76,1.64,0.53,,
June,2.41,2.65,2.60,1.84,0.89,2.37,1.99,3.83,2.00,3.46,,
July,2.13,3.73,0.94,2.84,2.25,1.22,0.92,2.64,2.64,2.59,,
August,3.82,1.63,4.58,4.43,3.33,3.78,1.58,2.68,3.42,2.02,,
September,0.66,0.94,1.27,3.39,1.43,1.07,0.65,0.70,1.92,1.97,,
October,3.08,1.80,2.55,5.13,0.39,1.26,4.18,5.56,1.71,3.04,,
November,2.75,1.08,1.80,2.93,1.00,2.32,2.40,2.28,1.56,0.60,,
December,3.03,3.58,1.58,1.79,1.72,0.65,2.02,2.09,1.88,3.83,,
Total,27.30,23.48,23.03,33.23,21.11,19.52,21.99,26.87,24.37,24.23,,
Calc annual,27.30,23.48,23.03,33.23,21.11,19.52,21.99,26.87,24.37,24.23,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
