LINDFIELD-THE-OBSERVATORY,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ338252,Long,-0.094113112,Lat,51.010628,Elevation,153,ft,,,,,,,,,,,,
Station no,512/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,0.98,5.12,6.52,4.19,5.94,2.48,2.86,5.3,,,,,,,,
February,,,,,4.72,2.45,5.51,1.07,1.77,2.95,3.64,0.7,,,,,,,,
March,,,,,0.51,1.64,3.99,0.75,1.44,3.38,3.8,3.28,,,,,,,,
April,,,,,3.26,2.53,3.19,0.4,3.02,1.33,1.48,1.39,,,,,,,,
May,,,,,1.56,0.3,2.44,2.37,1.54,1.97,2.13,3.63,,,,,,,,
June,,,,,3.19,3.54,1.45,0.52,1.41,0.22,1.72,1.06,,,,,,,,
July,,,,2.18,0.6,4.98,1.13,1.89,2.69,3.04,2.22,,,,,,,,,
August,,,,2.32,4.46,0.45,1.96,1.36,2.45,0.05,4.38,,,,,,,,,
September,,,,2.03,4.85,2.45,2.48,3.15,0.61,1.68,0.43,,,,,,,,,
October,,,,2.19,4.72,1.77,2.84,4.53,6.28,3.97,0.94,,,,,,,,,
November,,,,4.6,8.05,5.92,2.15,4.08,7.44,8.36,4.19,,,,,,,,,
December,,,,8.29,4.37,3.42,3.79,3.68,1.9,2.5,2.47,,,,,,,,,
Total,,,,,41.27,34.57,37.45,27.99,36.49,31.93,30.26,,,,,,,,,
