TERRINGTON HALL,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE672707,Long,-0.973,Lat,54.128,Elevation,300,ft,,,,,,,,,,,,,,,,,,
Station no,RR3013,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917
January,0.81,0.90,,3.02,0.82,1.59,0.76,2.50,3.66,1.31,0.99,1.92,2.15,0.62,3.06,0.92,1.25,0.83,2.33,1.27,2.69,2.53,1.46,3.26,0.48,3.20
February,1.60,2.26,,0.56,0.96,2.13,1.42,1.10,3.87,2.31,1.43,1.62,2.44,0.81,1.79,1.11,1.77,1.18,2.25,1.12,1.18,0.96,1.19,2.69,2.66,0.98
March,1.02,0.25,,2.34,2.47,2.83,1.39,1.51,0.77,1.77,1.11,2.50,1.81,2.34,1.61,1.43,2.94,3.82,0.63,1.52,3.40,1.88,1.97,1.09,2.74,1.88
April,1.62,0.54,,1.61,0.96,1.97,3.03,2.07,1.24,2.13,1.57,1.77,1.94,2.77,1.65,1.66,2.30,2.51,2.20,1.11,0.22,2.53,0.71,1.03,1.71,2.03
May,2.93,2.05,,0.74,0.74,1.30,2.36,3.79,1.45,1.18,2.26,3.40,3.09,1.63,2.17,4.17,3.07,1.58,2.77,2.54,2.59,2.00,1.77,1.57,2.96,1.54
June,4.70,1.39,,3.20,2.40,1.97,2.07,1.11,1.66,1.60,1.92,1.98,0.86,0.97,0.82,3.17,0.92,2.87,1.82,5.18,6.92,1.80,2.07,0.37,2.01,2.20
July,1.26,2.43,,6.31,2.32,0.74,0.78,1.17,1.16,1.03,2.16,3.43,1.41,1.47,1.15,1.55,2.35,2.58,2.10,1.46,3.56,0.38,5.07,4.90,2.29,1.29
August,3.00,2.04,,2.83,1.70,4.16,3.57,1.51,3.80,1.34,2.52,2.85,3.58,3.53,2.53,2.12,1.82,4.16,3.41,3.25,4.24,1.03,1.13,2.86,3.03,6.01
September,1.15,1.55,,1.14,2.89,3.02,0.72,3.52,0.80,1.15,0.62,3.13,1.45,2.42,0.65,0.67,2.41,1.38,0.55,2.42,1.48,1.02,1.44,1.77,0.87,0.81
October,5.51,2.12,,3.93,3.69,1.83,3.11,2.21,5.32,2.10,2.32,6.65,0.67,1.79,4.93,4.59,0.90,2.10,2.25,2.59,3.05,3.30,2.08,0.85,2.88,3.08
November,1.79,3.11,,2.86,1.54,2.83,2.64,1.02,2.89,3.87,1.14,2.04,2.35,3.92,2.77,2.31,1.82,0.49,2.74,3.34,2.42,2.13,2.57,1.57,2.24,1.69
December,0.87,2.73,,2.00,4.07,2.12,2.24,2.65,3.02,3.59,2.19,0.96,1.80,0.40,2.25,3.48,1.67,4.76,2.63,4.23,1.56,1.88,4.32,4.53,1.78,1.36
Total,26.26,21.37,,30.54,24.56,26.49,24.09,24.16,29.64,23.38,20.23,32.25,23.55,22.67,25.38,27.18,23.22,28.26,25.68,30.03,33.31,21.44,25.78,26.49,25.65,26.07
,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/192,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/084,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/010,,,,,,,,,,,,,,,,,,,,,,,,,,
