DRAYTON-ST-LEONARD-GUYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU599962,Long,-1.1353995,Lat,51.661399,Elevation,164,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1085/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.85,2,0.7,2.97,3.67,2.3,3.79,2.37,2.8,2.63,3.13,1.27,1.04,0.98,1.1,4.48,0.86,0.5,2.19,1.24,0.84,1.14,2.13,3.52,,,,
February,,,3.4,0.15,2.15,2.05,3.42,0.5,0.7,1.6,1.61,0.3,0.71,0.94,1.66,1.62,1.22,0.51,0.91,4.46,3.76,0.54,1.7,2.15,1.17,0.39,,,,
March,,,2.13,2,0.6,1.61,2.99,0.31,1.5,1.8,2.39,1.8,0.53,0.18,0.68,0.78,3.68,0.59,1.55,0.64,3.32,2.25,0.51,2.16,0.96,0.62,,,,
April,,,1.16,2.2,3.2,1.45,2.91,0.02,2.72,2.17,1.47,0.61,0.65,1.18,1.12,1.36,1.79,1.99,1.3,1.7,2.15,1.3,2.1,0.3,0.51,1.39,,,,
May,,,1.75,0.55,2.25,0.57,2.7,2.1,1.34,1.48,1.41,3.17,2.15,0.51,2.27,3.28,1.8,3.42,1.43,1.95,3.14,2.09,1.52,2,3.94,0.25,,,,
June,,,1.33,1,4.5,2.68,2.05,0.51,1.08,0.87,1.76,0.19,1.94,1.29,2.28,1.73,0.9,2.1,0.35,1.56,1.6,1.67,1.55,3.03,1.9,2.08,,,,
July,,,1.51,0.5,0.7,4.21,1.1,1.26,3.28,3.14,5.85,1.02,0.85,1.72,3.31,1,1.72,0.84,1.47,3.39,1.22,0.43,2.89,2.48,0.15,2.16,,,,
August,,,0.6,1.6,2,0.67,0.35,4.02,2.17,0,3.73,3,1.44,1.35,0.37,2.73,0.5,2.54,1.07,2.71,3.34,3.24,1.63,3.35,0.38,3.43,,,,
September,,,2.46,1.45,4,3.33,2.18,1.68,0.53,0.68,0.24,1.51,0.85,1.82,2.09,3.5,0.95,2.28,1.98,3.14,2.53,1.76,2,1.16,1.43,2.22,,,,
October,,,1.53,1.3,2.7,1.68,2.87,2.44,4.88,2.56,0.96,2.35,2.73,3.43,3.13,0.66,0.28,2.56,6.42,0.63,0.8,3.29,2.39,1.6,1.69,1.91,,,,
November,,,1,1.27,4.05,2.66,1.22,2.38,3.42,6.03,2.36,1.31,1.16,3.66,0.06,4.21,1.11,0.99,2.44,4.32,4.96,2.79,1.32,4.07,1.39,0.75,,,,
December,,,0.4,5.22,1.8,2.25,1.95,2.69,1.12,1.18,1.11,2.51,1.02,1.25,3.28,1.53,1.56,2.62,0.97,1.02,1.61,2.37,0.56,1.92,2.54,,,,,
Total,,,19.12,19.24,28.65,26.13,27.41,20.21,26.53,23.88,25.69,20.4,17.16,18.6,21.29,23.38,16.61,24.92,20.75,26.02,30.62,22.97,19.01,25.36,18.19,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933 Total corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Total corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Dec estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
