WESTMINSTER ST JAMES PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ299799,Long,-0.129831,Lat,51.503115,Elevation,27,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,1.55,1.15,3.43,0.7,1.5,0.7,1.53,1.16,3.45,2.23,0.44,3.94,1.19,1.14,2.87,2.68,2.34,1.96,2.42,1.16,2.65,1.63,2.24,1.66,3.32,0.77,2.53,1.14,1.41,1.09,1.2,1.09,3.9,2.96,2.55,4.15,1.62,2.56,2.15,4.54,1.52,1.8,1.24,1.42,2.71,0.96,1.04,3.01,1.83,0.85,1.11,2.55,3.27,1.33,1.95,2.14,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,2.01,0.7,1.65,0.99,1.37,0.48,2.51,1.2,1.4,0.74,2.05,3.23,3.42,0.79,0.95,2.31,0.59,0.22,1.91,2.69,0.7,2.68,2.91,3.22,1.41,0.53,0.7,1.6,0.28,1.57,0.19,1.92,1.28,3.9,0.53,0.95,1.33,1.58,0.72,1.21,0.67,1.33,2.32,1.07,1.1,0.98,3.42,5.56,0.94,1.26,2.2,1.45,0.24,2.92,2.41,0.07,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,1.17,3.27,0.87,0.78,2.07,2.83,0.88,1.4,2.36,2.07,3.72,0.55,4.34,1.88,0.99,3.5,1.26,1.1,1.55,2.06,0.61,0.73,0.2,2.33,1.31,0,1.55,0.23,1.42,2.34,1.79,0.3,1.04,2.85,0.34,1.22,3.7,2.9,2.1,0.3,0.07,0.97,1.14,4.41,0.54,0.91,0.7,3.22,2.85,0.55,2.18,1.02,0.97,0.99,1.21,1.72,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,0.97,1.55,0.68,2.88,2.06,1.96,1.65,1.4,0.02,2.42,0.66,1.14,1.37,1.81,3.23,3.13,2.76,1.15,2.84,1.29,3.04,1.75,3.22,1.94,1.26,1.24,1.3,3.76,2.44,0.72,1.87,2.7,1.39,2.25,0.07,2.1,1.82,1.65,0.73,1.15,1.21,1,1.46,1.53,1.5,1.89,2.37,2.83,1.33,2.66,0.32,0.37,1.17,0.25,1.62,2.04,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,1.84,1.1,1.15,1.67,1.57,1.42,2.15,1.42,1.1,1.31,1.79,3.62,1.86,2.32,2.01,0.33,0.64,1.01,1.25,2.23,2.78,1.44,1.73,1.35,2.15,1.28,2.98,2.77,3.61,1.43,0.45,1.22,0.4,2.53,1.28,1.44,1.06,1.44,2.48,1.77,0.89,2.95,3.06,1.07,2.12,2.25,1.61,2.3,1.44,1.3,1.98,4.82,0.42,1.21,2.16,0.89,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,0.59,4.61,2.71,1.87,1.33,4.02,1.93,2.2,2.52,0.46,1.15,0.74,1.67,2.68,1.1,1.49,1.36,0.33,1.18,0.47,2.24,0.08,3.22,2.71,2.15,1.09,3.09,1.71,0.63,2.01,0.98,3.5,2.92,1.69,0.3,1.67,0.47,2.11,0.59,1.86,1.69,1.63,2.86,2.54,2.25,0.69,1.55,1.24,2.38,1.85,3.12,2.92,2.07,1.17,5.46,1.31,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,2.33,1.15,0.67,1.25,3.42,2.95,2.48,1.46,1.19,1.47,1.21,4.1,1.21,3.95,6.89,2,3.68,0.11,3.3,3.03,4.35,3.22,1.7,2.28,2.07,1.65,1.58,2.56,2.1,1.7,1.31,0.71,3.37,0.57,1.24,2.16,2.77,4.11,1.65,1.55,1.95,2.9,1.34,2.38,1.05,0.67,3.55,1.35,0.62,3.9,2.91,0.73,4.87,3.42,1.88,1.51,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,1.54,2.51,0.82,1.64,2.54,1.43,1.83,1.11,4.44,1.2,1.38,3.19,6.17,3.9,1.53,1.91,1.75,0.81,2.07,1.56,2.24,2.26,2.15,4.29,2.51,2.02,2.39,3.92,2.2,0.57,1.54,1.98,0.36,0.93,2.1,2.86,0.11,5.16,1.7,1.25,2.55,1.17,3.8,0.11,3,1.26,1.61,3.42,2.94,2.06,3.72,1.1,4.08,1.73,3.66,1.31,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,0.79,1.49,1.65,0.58,1.22,2.16,0.55,1.23,1.99,1.53,0.86,2.13,1.44,2.44,5.12,0.94,3.35,1.96,1.63,1.04,2.5,1.99,1.19,4.38,0.67,0.17,3.36,2.28,2.03,3.24,1.43,2.65,3.25,1.32,3.06,1.44,1.09,0.61,1.21,1.78,2.94,1.2,2.58,1.29,1.29,0.32,2.5,3.1,2.61,1.93,1.89,1.79,2.02,2.41,3.56,0.11,4.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,1.41,1.01,2.88,2.26,1.89,4.07,1.9,2.77,1.78,2.93,1.02,2.05,2.89,3.11,1.22,0.63,1,0.78,0.94,4.87,3.63,2.57,2.19,1.17,3.26,2.76,1.11,0.67,5.24,1.46,0.95,2.37,1.8,1.93,2.36,5.18,2.29,0.62,3.54,2.54,2.92,1.83,1.31,0.09,2.09,5.46,0.4,0.95,2.54,2.96,2.52,2.65,1.63,1.84,2.78,1.84,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
