METHVEN (WATERWORKS) NEW SITE,,,,,,,,,,
Grid ref,NN988267,Long,-3.642175,Lat,56.421628,Elevation,459,ft,,
Station no,5546/51,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,1.7,3.75
February,,,,,,,,,1.35,2.65
March,,,,,,,,,2,2.3
April,,,,,,,,,2.75,2.5
May,,,,,,,,,0.7,3.8
June,,,,,,,,,0.95,2.35
July,,,,,,,,,3.4,4.1
August,,,,,,,,,1,6.45
September,,,,,,,,,0.7,2
October,,,,,,,,3.35,3.75,5.45
November,,,,,,,,1.15,6,3.05
December,,,,,,,,5.35,5.45,4.7
Total,,,,,,,,,29.75,43.1
,,,,,,,,,,
Station no,5546/51,,,,,,,,,
Midas,15287,,,,,,,,,
Hyd Stn,878841,,,,,,,,,
