LOCH FADA (LOCH GLEANN NA MUICE),,,,,,,,,,
Grid ref,NH063681,Long,-5.248672,Lat,57.660992,Elevation,1000,ft,,
Station no,5784/5/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,5.75
February,,,,,,,,,,6.65
March,,,,,,,,,,0.75
April,,,,,,,,,,7.65
May,,,,,,,,,,2.8
June,,,,,,,,,,6.9
July,,,,,,,,,,5.2
August,,,,,,,,,,6.35
September,,,,,,,,,,4.75
October,,,,,,,,,,3.1
November,,,,,,,,,9.4,7.45
December,,,,,,,,,9.65,10.75
Total,,,,,,,,,,68.1
,,,,,,,,,,
Station no,5784/5/8,,,,,,,,,
Midas,14132,,,,,,,,,
Hyd Stn,713433,,,,,,,,,
