JERSEY-GROUVILLE,,,,,,,,,,,,,,,,,,,,,
Grid ref,WV693484,Long,-2.04827,Lat,49.1848,Elevation,70,ft,,,,,,,,,,,,,
Station no,4424,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,4.42,,5.89,2.98,3.94,4.18,2.58,2.75,3.48,1.18,6.86,4.89,5.91,5.49,3.28
February,,,,,,,3.21,,4.67,1.26,2.45,4.54,0.4,4.95,0.27,4.84,2.49,6.91,1.71,1.77,3.44
March,,,,,,,1.37,,2.75,0.06,2.76,2.59,2.8,1.72,4.31,0.98,2.81,4.02,0.38,2.39,3.99
April,,,,,,,3.3,,2.51,1.98,4.17,2.01,2.99,1.79,2.09,3.76,1.58,2.51,0.11,1.91,1.54
May,,,,,,,2.73,,4.75,1.39,2.58,1.97,3.17,2.77,0.82,2.08,1.24,2.32,0.9,0.85,1.94
June,,,,,,,3.85,,2.37,3.34,0.81,1.8,1.64,2.45,1.08,4.88,2.73,1.03,0.25,2.76,0.35
July,,,,,,,1.14,,0.6,1.7,3.88,3.11,1.62,3.05,0.55,1.06,3.88,1.31,1.82,3.37,6.68
August,,,,,,,1.51,,3.37,1.46,3.14,8.71,1.27,2.58,4.19,2.97,1.08,1.06,2.71,1.66,0.02
September,,,,,,,0.52,,2.11,4.17,3.24,2.63,3.76,3.2,2.2,3.51,2.67,3.76,3.16,1.04,2.28
October,,,,,,,3.34,,6.81,7.12,5.01,0.78,6.56,3.55,3.84,5.04,1.92,3.86,4.03,5.36,3.11
November,,,,,,,8,,4.85,8.1,8.18,4.55,2.86,2.11,3.34,7.28,6.01,2.66,5.69,5.1,9.37
December,,,,,,,1.13,,4.74,6.08,5,1.25,1.53,2.15,8.43,7.74,1.88,6.41,4.61,2.74,6.2
Total,,,,,,,34.52,,45.42,39.64,45.16,38.12,31.18,33.07,34.6,45.32,35.15,40.74,31.28,34.44,42.2
,,,,,,,,,,,,,,,,,,,,,
Homestead Rue a Don Grouville ,,,,,,,,,,,,,,,,,,,,,
"At least 3 houses called Homestead in Grouville, but this matches distance to church and station",,,,,,,,,,,,,,,,,,,,,
1938 June 22 Gauge moved 200ft,,,,,,,,,,,,,,,,,,,,,
