PETWORTH RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU978218,Long,-0.607,Lat,50.988,Elevation,180,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,-999,,-999,,,,,,,,,,,,,,,,,,,,,,,2.75,3.3,1.55,4.95,5.55,4.11,4.92,4.13,1.85,3.21,7.05,5.11,2.43,4.5,1.28,8.57,1.52,4.75,0.74,1.42,2.1,3.93,3.96,2.78,4.34,3.32,1.05,1.07,4.51,4.15,1.04,2.21,5.8,2.56,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,-999,,-999,,,,,,,,,,,,,,,,,,,,,,,0.25,1.9,1.4,2.34,5.54,2.39,1.74,3.5,3.66,1.85,2.3,2.77,3.08,1.98,3.46,1.74,3.07,5.73,5.87,3.46,2.46,6.18,2.82,4.75,0.39,0.64,1.38,2.83,1.2,0.02,1.29,3.83,2.14,0.12,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,-999,,-999,,,,,,,,,,,,,,,,,,,,,,,4.45,1.35,2.84,1.23,2.44,3.2,1.91,1.43,2.21,1.92,2.81,2.39,0.53,1.25,3.61,2.96,1.4,0.82,2.3,3.07,0.89,1.32,2.87,2.25,2.45,1.86,4.61,2.7,1.79,2.87,1.54,0.63,2.03,2.24,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,-999,,-999,,,,,,,,,,,,,,,,,,,,,,,1.9,0.4,1.5,0.22,1.81,2.61,3.08,1.24,0.23,3.6,0.79,0.68,2.83,1.27,3.05,2.64,1.97,3.79,2.36,0.54,3.81,1.5,1.67,1.29,1.96,1.71,1.86,2.13,3.09,1.12,1.04,0.06,2.68,2.56,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,0.39,,0.49,,,,,,,,,,,,,,,,,,,,,,,3.7,1.4,1.88,3.36,1.06,2.05,0.98,4.91,1.88,0.28,3.1,1.08,2.06,2.32,0.44,2.69,4.94,3.72,0.22,1.3,1.51,2.29,0.7,4.17,5,1.64,2.78,2.76,1.95,2.59,1.3,0.64,1.66,0.3,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,-999,,-999,,,,,,,,,,,,,,,,,,,,,,,2.13,4.16,1.4,1.1,2.84,2.07,0.41,1.78,0.56,2.39,3.12,2.85,3.07,3.18,2.4,1.44,1.7,4.49,2.47,1.69,2.95,2.88,1.85,1.96,0.77,1,3.02,1.37,3.24,1.71,2.76,2.43,2.06,0.35,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,-999,,-999,,,,,,,,,,,,,,,,,,,,,,,1.51,0.7,0.33,2.46,1.94,5.27,1.64,0.77,2.34,4.34,4.35,2.48,1.66,3.98,0.64,4.36,1.2,4.96,3.91,3.09,3.36,2.68,2.31,0.41,3.21,0.9,6.01,2.02,4.03,2.29,2.83,3.47,5.83,4.85,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,-999,,-999,,,,,,,,,,,,,,,,,,,,,,,2.23,1.35,1.36,5.02,2.34,2.4,4.22,0.99,1.8,1.36,1.87,1.72,2.7,1.45,3.36,4.42,4.99,7.1,2.46,5.94,1.97,1.36,0.97,1.15,1.6,3,3.1,2.65,2.93,7.86,3.48,0.97,2.08,2.9,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,-999,,-999,,,,,,,,,,,,,,,,,,,,,,,1.99,4.3,3.31,0.16,6.91,2.05,4.44,5.61,2.36,4.82,2.11,2.81,3.55,2.06,5.23,1.5,1.89,5.45,6.52,2.82,2.72,4.15,3.42,4.92,2.02,3.8,0.79,0.63,1.7,1.07,3.76,2.11,3.01,0.84,7.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,-999,,-999,,,,,,,,,,,,,,,,,,,,,,,-999,4.35,1.5,10.19,0.94,3.59,3.31,2.06,5.64,1.53,7.04,4.57,5.78,5.82,1.92,3.43,4.17,0.93,9.81,2.13,7.12,2.92,0.88,4.37,5.43,1.48,2.59,6.63,1.26,8.62,5.4,4.78,4.21,3.75,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
