LOCH CHOIRE LODGE,,,,,,,,,,
Grid ref,NC651305,Long,-4.29967,Lat,58.242479,Elevation,575,ft,,
Station no,5800/9/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.65,6.32,7.27,5.52,5.15
February,4.81,,,,,6.25,2.79,6.58,1.99,5.2
March,4.98,,,,,1.01,4.1,2.23,1.73,1.9
April,4.94,,,,,4.38,2.3,3.24,4.12,4.4
May,0.98,,,,,2.18,2.53,4.52,2.4,1.3
June,,,,,,3.17,3.34,3.22,2.88,3.5
July,,,,,,8.29,6.13,2.75,4.05,3.12
August,,,,,,5.52,7.46,3.95,3.15,4.63
September,,,,,,2.41,4.9,2.84,1.6,2.25
October,,,,,,4.83,5.29,6.13,6.65,5.13
November,,,,,,3.43,3.82,1.67,7.53,3.82
December,,,,,,6.91,10.08,7.51,7.72,6.2
Total,,,,,,54.03,59.06,51.91,49.34,46.6
,,,,,,,,,,
Station no,5800/9/5,,,,,,,,,
Midas,14336,,,,,,,,,
Hyd Stn,752370,,,,,,,,,
