KIRKCUDBRIGHT SENWICK - monthly gauge,,,,,,,,,,
Grid ref,NX627459,Long,-4.1368114,Lat,54.789147,Elevation,113,ft,,
Station no,RR3089,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,5.02,2.13,3.62,1.1,3.39,2.33,2.34,2.02,2.23,4.69
February,0.93,0.32,1.19,4.63,5.3,0.94,2.41,2.25,3.52,2.33
March,2.34,1.82,0.8,1.7,1.38,3.15,4.3,5.5,1.19,2.78
April,1.27,2.08,0.85,1.46,1.79,2.1,1.92,2.6,2.71,3.56
May,3.15,1.35,5.26,2.31,3.28,0.19,0.7,2.24,3.21,4.34
June,4.08,1.25,3.14,1.27,3.95,1.53,3.95,4.71,1.69,3.42
July,3.32,1.17,2.63,3.63,2.78,4.56,5.62,1.53,0.37,3.16
August,3.81,6.63,6.55,4.09,4.26,6.93,2.47,4.75,5.97,1.23
September,3.64,4.7,4.12,2.46,0.14,0.78,4.1,3.98,3.19,4.4
October,1.97,6,2.78,3.8,5.52,4.21,3.99,2.2,3.97,2.32
November,8.4,5.39,3.37,1.8,4.57,4.84,1.89,4.27,3.72,3.44
December,1.68,6.9,2.29,4.38,4.37,4.98,5.67,6.47,4.12,5.64
Total,39.61,39.74,36.6,32.63,40.73,36.54,39.36,42.52,35.89,41.31
,,,,,,,,,,
"Observer A Corrie lived at South Park, Senwick, Borgue which is at the right elevation",,,,,,,,,,
