"BORGUE, SENWICK HOUSE",,,,,,,,,,,
Grid ref,NX645466,Long,-4.1087486,Lat,54.796026,Elevation,150,ft,,,
Station no,RR3089,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,3.8,3.25,4.89,,,,,,
February,,,3.9,5.42,0.83,,,,,,
March,,,1.57,1.76,1.28,,,,,,
April,,,2.29,2.88,2.03,,,,,,
May,,,2.41,1.58,4.38,,,,,,
June,,,1.97,1.29,,,,,,,
July,,,4.73,3.56,,,,,,,
August,,,3.02,8.77,,,,,,,
September,,,2.82,4.41,,,,,,,
October,,,1.87,5.46,,,,,,,
November,,,1.77,4.8,,,,,,,
December,,,3.63,5.28,,,,,,,
Total,,,33.78,48.46,,,,,,,
