BAGSHOT-PENNY-HILL-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU900622,Long,-0.70898,Lat,51.35177,Elevation,350,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,1.04,2.09,,,3.06,0.8,4.25,1.33,1.34,3.31,3.94,2.72,2.18,,,,,,,,,
February,,,,,,,,,,0.55,3.67,,,1.19,3.52,4.41,4.38,1,1.24,2.77,0.5,0.37,,,,,,,,,
March,,,,,,,,,,3.67,1.1,,,2.82,4.64,1.05,4.81,1.88,1.03,4.63,1.78,1.43,,,,,,,,,
April,,,,,,,,,,2.33,1.66,,,2.83,0.83,1.06,1.14,2.04,3.62,2.59,3.82,0.72,,,,,,,,,
May,,,,,,,,,,1.53,2.05,,,1.98,1.37,3.46,2.12,1.68,2.19,0.32,1.02,1.02,,,,,,,,,
June,,,,,,,,,,4.01,3.05,,,0.56,1.18,1.2,2.42,1.8,1.11,1.24,1.67,0.57,,,,,,,,,
July,,,,,,,,,,3,2.62,,,1.01,2.26,5.39,1.3,5.82,5.05,2.62,6.24,0.24,,,,,,,,,
August,,,,,,,,,,1.65,2.73,,,1.4,1.65,3.24,4.35,4.59,1.43,2.47,1.68,1.41,,,,,,,,,
September,,,,,,,,,,3.3,0.52,,,2.26,0.88,2.51,2.32,1.96,6.34,1.97,2.27,2.06,,,,,,,,,
October,,,,,,,,,,5.15,3.55,,,3.69,2.09,3.19,4.34,4.05,1.79,0.89,2.05,1.2,,,,,,,,,
November,,,,,,,,,,0.73,3.49,,,2.77,3.21,2.49,4.7,1.04,2.79,1.99,1.4,1.96,,,,,,,,,
December,,,,,,,,,,2.96,4.45,,,1.34,8.66,6.09,3.11,1.49,2.57,5.69,2.56,1.5,,,,,,,,,
Total,,,,,,,,,,29.92,30.98,,33.87,24.91,31.09,38.34,36.32,28.69,32.47,31.12,27.71,14.66,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lodge Penny Hill Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
