WESTMINSTER-KINGS-SCHOLARS-POND-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ298781,Long,-0.13193214,Lat,51.486962,Elevation,31,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,0.67,1.9,1.45,3.66,2.82,0.51,3.97,1.15,1.13,2.66,2.92,2.44,1.83,2.39,1.17,2.65,1.67,2.32,1.54,3.07,0.76,2.49,1.04,1.53,0.94,1.13,0.81,3.68,,,,
February,,,,,,,,,,0.39,3.02,1.64,1.74,0.91,2.49,3.61,2.89,0.78,0.96,1.91,0.61,0.21,1.96,2.71,0.46,2.94,2.49,3.13,1.3,0.49,0.57,1.4,0.2,1.51,0.15,1.98,1.1,,,,
March,,,,,,,,,,3.08,0.85,1.57,2.72,2.48,4.02,0.68,3.23,1.61,0.95,3.03,1.33,1.09,1.61,1.97,0.65,0.61,0.16,2.41,1.23,0,1.47,0.16,1.34,2.2,1.82,0.25,0.86,,,,
April,,,,,,,,,,1.87,1.62,1.59,0.06,2.54,0.84,1.24,1.13,1.64,2.84,2.65,2.59,1.22,2.74,1.31,3.03,1.31,2.87,1.91,0.96,0.88,1.04,3.58,2.11,0.65,1.75,2.63,1.24,,,,
May,,,,,,,,,,1.73,2.13,1.8,1.27,1.55,1.67,2.47,1.88,2.26,1.97,0.27,0.71,1.2,1.02,2.11,2.82,1.47,1.55,1.15,1.87,1.29,3.03,2.82,3.77,1.86,0.4,1.16,0.3,,,,
June,,,,,,,,,,4.23,2.08,2.63,3.67,0.52,1.71,0.56,1.6,1.89,1.14,1.38,1.45,0.23,1.18,0.41,2.44,0.08,2.55,2.52,1.91,0.82,2.2,1.59,0.76,1.74,0.79,3.57,2.66,,,,
July,,,,,,,,,,4.23,2.36,2.23,1.33,1.52,1.35,3.92,1.11,3.88,7.43,2.23,3.61,0.1,3.52,2.97,2.72,3.42,1.49,2.03,2.03,1.54,1.98,2.59,2.47,1.48,1.93,0.4,2.71,,,,
August,,,,,,,,,,1.49,2.56,1.48,5.33,1.57,1.52,2.91,5.41,3.71,1.57,1.92,1.88,1,2.02,1.39,2.16,2.48,1.83,3.63,2.51,1.64,2.12,3.55,1.89,0.58,2,1.86,0.36,,,,
September,,,,,,,,,,2.63,0.74,1.25,2.3,1.64,0.88,1.87,1.4,2.39,5.03,0.93,3.28,1.86,1.79,0.98,2.24,1.78,1.11,4.01,0.61,0.16,2.95,2.23,2.13,2.92,1.28,2.2,2.48,,,,
October,,,,,,,,,,5.32,2.44,3.07,2.2,3.06,1.07,1.98,3.09,2.97,1.21,0.61,0.9,0.84,0.71,4.79,3.62,2.43,1.91,1.18,3.1,2.52,1.03,0.78,5.34,1.32,0.85,2.35,1.6,,,,
November,,,,,,,,,,0.99,3.13,3.69,1.82,2.27,3.2,2.05,4.01,1.41,2.14,1.14,0.9,1.88,1.33,1.45,2.19,1.5,4.88,2.23,1.69,5.09,3.8,2.29,1.08,0.7,1.71,3.53,2.86,,,,
December,,,,,,,,,,3.33,3.38,4.66,3.38,1,6.03,5.5,2.26,0.78,2.34,3.24,1.96,1.05,3.23,2.08,3.25,2.42,0.24,2.75,2.18,4.29,1.66,0.64,0.44,0.32,4.38,2.31,1.64,,,,
Total,,,,,,,,,,29.96,26.21,27.06,29.48,21.88,25.29,30.76,29.16,24.45,30.24,22.23,21.66,12.51,23.5,23.34,28.23,22.11,23.4,28.49,22.46,19.48,24.34,22.67,23.06,16.22,18.19,23.05,21.49,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is the pumping station at the end of Kings Pond Sewer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
