BEECHGROVE MAUCHLINE AYRSHIRE,,,,,,,,,,
Grid ref,NS498271,Long,-4.3802925,Lat,55.514489,Elevation,450,ft,,
Station no,RR8457,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,6.26,3.11,3.39,,,,
February,,,,4.5,2.97,2.83,,,,
March,,,,1.38,4.96,1.92,,,,
April,,,,4.26,1.64,0.54,,,,
May,,,,3.98,2.37,4.19,,,,
June,,,,4.46,3.16,4.51,,,,
July,,,,0.47,2.06,2.27,,,,
August,,,,2.74,2.31,4.11,,,,
September,,,,6.23,5.87,1.25,,,,
October,,,,4.97,3.79,3.28,,,,
November,,,,4.24,3.57,2.93,,,,
December,,,,7.93,2.51,2.11,,,,
Total,,,,51.42,38.32,33.33,,,,
