MARGATE (Cliftonville),,,,,,,,,,
Grid ref,TR368707,Long,1.4019406,Lat,51.38591,Elevation,99,ft,,
Station no,308,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,-999
February,,,,,,,,,,-999
March,,,,,,,,,,-999
April,,1.03,,,,,,,,-999
May,,1.21,,,,,,,,-999
June,,1.43,,,,,,,,-999
July,,0.42,,,,,,,,-999
August,,0.84,,,,,,,,-999
September,,1.6,,,,,,,,-999
October,,4.76,,,,,,,,-999
November,,3.77,,,,,,,,-999
December,,3.89,,,,,,,,-999
Total,,,,,,,,,,-999
