MARGATE (Apsley House),,,,,,,,,,,,,,,,,,,,,
Grid ref,TR357701,Long,1.3857631,Lat,51.380982,Elevation,84,ft,,,,,,,,,,,,,
Station no,308,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,0.77,1.64,1.52,0.72,1.98,1.68,2.77,0.9,2.46,0.61,2.34,2.88,0.34,0.57,1.87,2.63,0.7,2.1,0.79,,
February,2.07,0.8,0.1,2.29,3.28,1.12,0.45,0.32,1.98,0.88,1.63,4.12,0.95,1.1,1.02,1.59,0.7,1.57,1.2,,
March,1.27,2.39,2.07,1.87,0.39,0.68,0.97,1.76,3.47,1.61,0.86,1.1,1.59,1.02,1.26,1.49,1.84,1.41,0.66,,
April,1.91,2.08,0.3,1.06,0.04,1.88,0.85,0.76,1.83,0.86,2.47,0.63,1.02,0.38,2.29,0.83,2.89,0.67,2.34,,
May,2.02,1.14,3,0.32,0.81,3.16,0.66,0.15,0.49,3.26,2.45,0.88,1.15,1.48,1.84,1.98,1,2.13,2.1,,
June,1.43,1.76,1.64,3,0.52,1.82,0.43,3.33,1.55,2.51,1.39,2.62,0.96,2.02,3.73,0.72,4.04,1.87,1.41,,
July,3.02,4.34,3.36,2.56,2.59,4.05,3.22,1.29,0.29,1.21,1.42,1.26,0.87,0.97,3.7,0.95,0.7,0.71,1.85,,
August,2.21,3.8,3.33,4.49,0.95,1.72,1.83,4.13,2.53,1.25,1.09,1.63,1.53,2.86,2.74,1.51,1.57,0.52,1.47,,
September,1.13,0.69,0.47,1.97,2.53,1.93,0.68,4.18,2.1,0.44,2.2,0.45,1.07,1.14,1.32,1.7,3.3,1.87,0.65,,
October,5.02,1.17,3.55,5.37,2.5,2.81,2.72,6.15,0.31,1.99,2.29,2.16,1.29,1.42,2.74,2.15,1.66,1.81,4.36,,
November,0.87,2.11,2.28,2.03,2.89,2.84,3.04,2.04,1.44,2.59,1.94,2.15,0.94,1.64,2.99,1.29,2.42,3.96,2.12,,
December,1.1,0.61,2.31,2.32,2.13,1.34,2.31,3.75,2.8,1.26,2.16,2.02,3.36,1.56,1.42,1.83,0.36,1.8,1.45,,
Total,22.82,22.53,23.93,28,20.61,25.03,19.93,28.76,21.25,18.47,22.24,21.9,15.07,16.16,26.92,18.67,21.18,20.42,20.4,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_03_pt1-253.csv added to location record as is a direct continuation of Apsley House and move to Cliftonville,,,,,,,,,,,,,,,,,,,,,
"1902-1907, several moves of a few hundred metres in Margate, locations not named, but East of station.",,,,,,,,,,,,,,,,,,,,,
1908 Gauge moved to Cliftonville,,,,,,,,,,,,,,,,,,,,,
