"MARGATE APSLEY HOUSE",,,,,,,,,,,,
Grid ref,TR357701,Long,1.385763,Lat,51.380982,,,,,,,
Station no,308,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.77,,,,,,,,,,,
February,4.09,,,,,,,,,,,
March,1.05,,,,,,,,,,,
April,0.61,,,,,,,,,,,
May,0.86,,,,,,,,,,,
June,2.60,,,,,,,,,,,
July,1.25,,,,,,,,,,,
August,1.61,,,,,,,,,,,
September,0.45,,,,,,,,,,,
October,2.07,,,,,,,,,,,
November,2.08,,,,,,,,,,,
December,2.03,,,,,,,,,,,
Total,21.47,,,,,,,,,,,
Calc annual,21.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
