GLEN ISLA (AUCHAVON),,,,,,,,,,,,
Grid ref,NO191697,Long,-3.326677,Lat,56.811747,,,,,,,
Station no,5586/65,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,5.50,4.10,1.70,3.90,,
February,,,,,,,4.60,3.30,0.80,6.50,,
March,,,,,,,4.40,3.80,4.10,3.30,,
April,,,,,,,1.90,1.70,3.90,5.60,,
May,,,,,,,2.50,4.40,1.20,2.90,,
June,,,,,,,2.30,3.60,2.90,2.60,,
July,,,,,,,4.50,3.80,4.50,3.20,,
August,,,,,,,5.10,4.40,1.50,5.60,,
September,,,,,,,2.40,6.00,1.20,3.44,,
October,,,,,,,2.90,4.20,6.50,8.96,,
November,,,,,,,1.90,0.90,9.00,6.50,,
December,,,,,,,6.20,7.20,12.40,4.70,,
Total,,,,,,,44.20,47.40,49.70,57.20,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,44.20,47.40,49.70,57.20,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,,
