GLEN ISLA (AUCHAVON),,,,,,,,,,
Grid ref,NO191697,Long,-3.326677,Lat,56.811747,Elevation,1200,ft,,
Station no,5586/65,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,5.5,4.1,1.7,3.9
February,,,,,,,4.6,3.3,0.8,6.5
March,,,,,,,4.4,3.8,4.1,3.3
April,,,,,,,1.9,1.7,3.9,5.6
May,,,,,,,2.5,4.4,1.2,2.9
June,,,,,,,2.3,3.6,2.9,2.6
July,,,,,,,4.5,3.8,4.5,3.2
August,,,,,,,5.1,4.4,1.5,5.6
September,,,,,,,2.4,6,1.2,3.44
October,,,,,,,2.9,4.2,6.5,8.96
November,,,,,,,1.9,0.9,9,6.5
December,,,,,,,6.2,7.2,12.4,4.7
Total,,,,,,,44.2,47.4,49.7,57.2
,,,,,,,,,,
BR 1958 P Mar Est,,,,,,,,,,
BR 1959 P,,,,,,,,,,
BR 1960 Sep Oct app,,,,,,,,,,
,,,,,,,,,,
Station no,5586/65,,,,,,,,,
Midas,15214,to 1981,,,,,,,,
Hyd Stn,872577,,,,,,,,,
