HORSHAM-COMPTONS-LEA,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ190314,Long,-0.30294088,Lat,51.069604,Elevation,253,ft,,,,,,,,,,,,
Station no,RR7794,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,,0.7,1.67,1.26,3.02,2.61,1.82,,,,
February,,,,,,,,,,,3.33,3.22,1.07,4.24,2.39,3.85,,,,
March,,,,,,,,,,,0.66,2.52,1.54,0.56,1.98,2.52,,,,
April,,,,,,,,,,,2.29,0.43,3.05,1.63,1.17,1.32,,,,
May,,,,,,,,,,,0.07,1.02,1.44,2.07,0.7,3.75,,,,
June,,,,,,,,,,,2.98,1.98,2.37,2.4,1.01,1.58,,,,
July,,,,,,,,,,,3.64,0.73,3.27,2.69,2.15,0.3,,,,
August,,,,,,,,,,4.99,1.76,5.6,1.52,0.73,0.61,0.92,,,,
September,,,,,,,,,,3.03,4.69,2.98,3.32,4.69,4.14,5.07,,,,
October,,,,,,,,,,1.38,7.01,2.6,6.89,2.77,1.56,4.33,,,,
November,,,,,,,,,,0.82,3.66,4,2.89,4.98,0.67,3.28,,,,
December,,,,,,,,,,0.49,3.31,3.58,2.68,1.06,4.4,1.66,,,,
Total,,,,,,,,,,,34.1,30.33,31.3,30.84,23.39,30.4,,,,
