HASTINGS-HIGH-BEECH-HOLLINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ786126,Long,0.53773,Lat,50.885282,Elevation,320,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,4.41,4.3,3.89,3.17,2.54,2.81,4.9,3.19,2,3.25,1.14,6.82,1.68,3.1,0.25,1.47,0.81,1.93,2.42,2.17,4.57,2.44,1.31,0.96,2.52,2.7,0.63,2.4,2.96,2.54,1.04,3.28,0.83,2.22,3.49,0.66,0.99,2.79,4.08,1.02,3.74,0.86,1.09,0.96,2.04,,,,,,,,,
February,,,,,,,4.13,1.89,0.94,1.87,0.99,1.77,1.9,2.61,1.1,0.81,2.83,2.32,1.88,3.98,2.59,1.64,1.45,3.1,1.68,3.68,0.58,0.59,2.26,2.23,1.31,0.02,1.98,3.57,1.95,0.27,0.28,2.4,1.1,2.13,5.77,2.31,1.9,1.49,3.03,0.61,2.5,1.22,0.83,0.5,2.84,,,,,,,,,
March,,,,,,,2.18,3.66,1.31,1.37,2.25,1.39,2.42,3.03,0.43,0.88,2.69,2.31,2.05,1.11,0.58,3.25,1.09,1.13,1.71,1.72,1.67,1.03,3.92,1.6,1.69,3.29,1.54,0.24,1.23,2.22,2.19,4.12,2.09,0.58,1.18,1.52,1.2,1.71,1.44,3.97,1.52,0.76,2.3,4.17,1.44,,,,,,,,,
April,,,,,,,2.03,2.33,1.95,1.38,0.24,4.38,0.99,0.73,2.3,1.25,1.57,2.19,3.85,3.75,2.04,0.54,2.66,2.08,1.75,2.11,1.59,1.44,1.24,2.22,2.45,0.73,1.78,0,2.12,1.93,0.72,2.16,0.91,2.98,1.16,1.8,0.83,1.97,1.08,1.72,1.43,3.09,2.13,2.18,1.68,,,,,,,,,
May,,,,,,,1.18,3.46,0.92,4.53,1.4,0.78,2.56,1.27,0.81,0.97,1.49,2.6,3.93,4.31,0.16,0.89,1.55,2.63,0.27,2.51,3.03,1.54,1.06,1.45,1.54,3.13,0.25,0.38,1.73,0.17,0.26,1.06,3.9,0.96,1.28,1.08,1.91,2.15,2.49,1.24,2.38,2.15,1.38,1.37,2.22,,,,,,,,,
June,,,,,,,2.49,1.5,0.6,0.71,0.48,2.84,2.47,2.01,1.47,2.37,1.4,2.88,1.69,3.97,3.44,2.93,2.21,1.01,2.25,1.06,0.78,0.77,3.19,0.48,2.03,2.08,2.09,0.86,1.83,0.37,3.26,2.11,1.8,1.09,2.3,1.17,2.43,2.88,1.13,4.11,1.21,2.24,1.64,2.63,1.66,,,,,,,,,
July,,,,,,,2.49,3.81,2.28,0.37,0.92,2.84,2.21,1.33,0.71,2.7,0.51,2.38,0.98,3.3,3.91,1.9,2.65,1.99,1.94,0.74,2.04,0.34,7.52,2.37,3.64,1.79,1.54,4.23,6.32,2.92,1.36,0.31,0.48,1.29,1.13,2.3,0.8,6.06,0.95,0.69,0.2,2.9,2.54,2.46,1.97,,,,,,,,,
August,,,,,,,2.68,1.63,4.09,2.22,1.61,0.99,1.46,2.25,1.71,2.22,3.41,2.35,8.46,3.99,0.5,3.64,1.75,0.65,1.07,0.68,1.57,2.29,1.39,2.04,4.15,5.66,3.77,1.15,1.54,2.16,2.19,5.04,1.2,0.7,1.92,1.85,3.8,3.27,1.54,2.57,0.77,1.21,3.83,2.96,2.07,,,,,,,,,
September,,,,,,,5.5,1.55,1.27,3.79,2.27,4.07,2.75,2.25,3.79,3.31,3.36,1.17,1.78,3.04,3.21,2.4,3.21,3.45,3.74,4.41,1.34,3.29,0.9,1.26,1.67,0.81,2.18,3.85,3.33,0.83,6.1,2.86,0.75,5.35,1.03,0.92,2.21,3.42,1.21,3.99,1.26,0.77,2.71,3.38,0.36,,,,,,,,,
October,,,,,,,2.13,3.45,2.83,1.83,4.94,1.38,5.48,3.48,3.48,4.61,1.75,3.76,3.31,1.26,8.12,3.76,7.44,2.93,2.79,2.23,3.17,1.36,3.14,6.67,1.12,4.87,6.34,4.45,4.76,5.21,6.71,0.08,2.93,2.59,3.09,2.53,2.29,4.74,2.07,1.99,4.02,5.99,1.75,5.98,4.06,,,,,,,,,
